,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Bruce E Mahall. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1111761074,10.1002/ecs2.2570,,,Demography of evergreen and deciduous oaks in a mixed oak savanna: insights from a long‐term experiment,Ecosphere,,,2019-01,2019,10,1,e02570,All OA; Gold,Article,"Davis, Frank W.; Tyler, Claudia M.; Mahall, Bruce E.",,"Davis, Frank W. (University of California, Santa Barbara); Tyler, Claudia M. (University of California, Santa Barbara); Mahall, Bruce E. (University of California, Santa Barbara)",2,2,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.2570,https://app.dimensions.ai/details/publication/pub.1111761074,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
2,100,pub.1092590118,10.1111/1365-2745.12904,,,"A 37‐year experimental study of the effects of structural alterations on a shrub community in the Mojave Desert, California",Journal of Ecology,,,2018-05,2018,106,3,1057-1072,Closed,Article,"Mahall, Bruce E.; Fonteyn, Paul J.; Callaway, Ragan M.; Schlesinger, William H.",,"Mahall, Bruce E. (University of California, Santa Barbara); Fonteyn, Paul J. (Green Mountain College); Callaway, Ragan M. (University of Montana); Schlesinger, William H. (Cary Institute of Ecosystem Studies)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1092590118,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
3,100,pub.1030218838,10.1890/es11-00187.1,,,Consumer control of oak demography in a Mediterranean‐climate savanna,Ecosphere,,,2011-10,2011,2,10,1-21,All OA; Gold,Article,"Davis, Frank W.; Tyler, Claudia M.; Mahall, Bruce E.",,"Davis, Frank W. (University of California, Santa Barbara); Tyler, Claudia M. (University of California, Santa Barbara); Mahall, Bruce E. (University of California, Santa Barbara)",15,4,,1.58,https://doi.org/10.1890/es11-00187.1,https://app.dimensions.ai/details/publication/pub.1030218838,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
4,200,pub.1058840614,10.1086/650232,,,"Root Feeders: An Ecosystem Perspective
                    .
                    Edited by
                    Scott N. Johnson and Philip J. Murray. Wallingford (United Kingdom) and Cambridge (Massachusetts): CABI Publishing. $150.00. xvii + 226 p.; ill.; species and subject indexes. ISBN: 978‐1‐84593‐461‐3. 2008.",The Quarterly Review of Biology,,,2010-03,2010,85,1,93-94,Closed,Article,"Mahall, Bruce E.",,"Mahall, Bruce E. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1058840614,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
5,100,pub.1011698823,10.1016/j.flora.2009.12.011,,,A quantitative comparison of two extremes in chaparral shrub phenology,Flora,,,2010-01,2010,205,8,513-526,Closed,Article,"Mahall, Bruce E.; Thwing, Lisa K.; Tyler, Claudia M.","Mahall, Bruce E.","Mahall, Bruce E. (University of California, Santa Barbara); Thwing, Lisa K. (University of California, Santa Barbara); Tyler, Claudia M. (University of California, Santa Barbara)",10,4,,1.54,,https://app.dimensions.ai/details/publication/pub.1011698823,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
6,400,pub.1049155523,10.3732/ajb.0800247,21628230,,"A comparative study of oak (Quercus, Fagaceae) seedling physiology during summer drought in southern California",American Journal of Botany,,,2009-04,2009,96,4,751-761,All OA; Gold,Article,"Mahall, Bruce E.; Tyler, Claudia M.; Cole, E. Shelly; Mata, Catarina",,"Mahall, Bruce E. (University of California, Santa Barbara); Tyler, Claudia M. (University of California, Santa Barbara); Cole, E. Shelly (University of California, Berkeley); Mata, Catarina (Borough of Manhattan Community College)",26,3,0.26,3.86,https://onlinelibrary.wiley.com/doi/pdf/10.3732/ajb.0800247,https://app.dimensions.ai/details/publication/pub.1049155523,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
7,100,pub.1036642164,10.1016/j.foreco.2008.01.073,,,The relative importance of factors affecting age-specific seedling survival of two co-occurring oak species in southern California,Forest Ecology and Management,,,2008-04,2008,255,7,3063-3074,Closed,Article,"Tyler, Claudia M.; Davis, Frank W.; Mahall, Bruce E.","Tyler, Claudia M.","Tyler, Claudia M. (University of California, Santa Barbara); Davis, Frank W. (University of California, Santa Barbara); Mahall, Bruce E. (University of California, Santa Barbara)",34,7,,2.93,,https://app.dimensions.ai/details/publication/pub.1036642164,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
8,300,pub.1043994073,10.1038/448145a,17625553,,Family roots,Nature,,Biological Evolution; Ecosystem; Ferns; Plant Roots,2007-07,2007,448,7150,145-146,Closed,Article,"Callaway, Ragan M.; Mahall, Bruce E.",,"Callaway, Ragan M. (University of Montana); Mahall, Bruce E. (University of California, Santa Barbara)",36,5,0.63,,,https://app.dimensions.ai/details/publication/pub.1043994073,,,,,,
9,400,pub.1043526777,10.1111/j.1469-8137.2006.01822.x,16995922,,A test for hydrotropic behavior by roots of two coastal dune shrubs,New Phytologist,,Artemisia; California; Eriogonum; Gravitation; Nitrogen; Plant Roots; Soil; Water,2006-10,2006,172,2,358-368,All OA; Gold,Article,"Cole, E. Shelly; Mahall, Bruce E.",,"Cole, E. Shelly (University of California, Santa Barbara); Mahall, Bruce E. (University of California, Santa Barbara)",11,0,0.08,1.08,http://onlinelibrary.wiley.com/doi/10.1111/j.1469-8137.2006.01822.x/pdf,https://app.dimensions.ai/details/publication/pub.1043526777,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
10,100,pub.1052830257,10.1007/s10530-006-0003-8,,,Defoliation of Centaurea solstitialis Stimulates Compensatory Growth and Intensifies Negative Effects on Neighbors,Biological Invasions,,,2006-09,2006,8,6,1389-1397,Closed,Article,"Callaway, Ragan M.; Kim, Judy; Mahall, Bruce E.","Callaway, Ragan M.","Callaway, Ragan M. (University of Montana); Kim, Judy (University of California, Santa Barbara); Mahall, Bruce E. (University of California, Santa Barbara)",22,3,,1.92,,https://app.dimensions.ai/details/publication/pub.1052830257,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
11,100,pub.1000100167,10.1890/02-0549,,,"COMMUNITY COMPOSITION AND PHOTOSYNTHESIS BY PHOTOAUTOTROPHS UNDER QUARTZ PEBBLES, SOUTHERN MOJAVE DESERT",Ecology,,,2003-12,2003,84,12,3222-3231,Closed,Article,"Schlesinger, William H.; Pippen, Jeffrey S.; Wallenstein, Matthew D.; Hofmockel, Kirsten S.; Klepeis, Debra M.; Mahall, Bruce E.",,"Schlesinger, William H. (Duke University); Pippen, Jeffrey S. (Duke University); Wallenstein, Matthew D. (Duke University); Hofmockel, Kirsten S. (Duke University); Klepeis, Debra M. (University of California, Santa Barbara); Mahall, Bruce E. (University of California, Santa Barbara)",77,5,,8.92,,https://app.dimensions.ai/details/publication/pub.1000100167,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
12,100,pub.1040654919,10.1046/j.1365-2745.2003.00782.x,,,Spatial ecology of a small desert shrub on adjacent geological substrates,Journal of Ecology,,,2003-06,2003,91,3,383-395,All OA; Gold,Article,"Schenk, H. Jochen; Holzapfel, Claus; Hamilton, Jason G.; Mahall, Bruce E.",,"Schenk, H. Jochen (University of California, Santa Barbara); Holzapfel, Claus (University of California, Santa Barbara); Hamilton, Jason G. (University of California, Santa Barbara); Mahall, Bruce E. (University of California, Santa Barbara)",63,6,,6.12,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1046/j.1365-2745.2003.00782.x,https://app.dimensions.ai/details/publication/pub.1040654919,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
13,100,pub.1022711877,10.1890/0012-9658(2003)084[0129:sfateo]2.0.co;2,,,SOIL FUNGI AND THE EFFECTS OF AN INVASIVE FORB ON GRASSES: NEIGHBOR IDENTITY MATTERS,Ecology,,,2003-01,2003,84,1,129-135,"All OA; Green, Accepted & Submitted",Article,"Callaway, Ragan M.; Mahall, Bruce E.; Wicks, Chris; Pankey, Joel; Zabinski, Catherine",,"Callaway, Ragan M. (University of Montana); Mahall, Bruce E. (University of California, Santa Barbara); Wicks, Chris (University of California, Santa Barbara); Pankey, Joel (University of California, Santa Barbara); Zabinski, Catherine (University of Montana)",84,13,,8.15,https://scholarworks.umt.edu/cgi/viewcontent.cgi?article=1308&context=biosci_pubs,https://app.dimensions.ai/details/publication/pub.1022711877,0605 Microbiology; 0503 Soil Sciences; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0605 Microbiology,0503 Soil Sciences,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
14,400,pub.1047720929,10.1007/s00442-002-0990-9,28547418,,Positive and negative plant interactions contribute to a north-south-patterned association between two desert shrub species,Oecologia,,,2002-08,2002,132,3,402-410,Closed,Article,"Schenk, Jochen H.; Mahall, Bruce E.","Schenk, Jochen H.","Schenk, Jochen H. (University of California, Santa Barbara); Mahall, Bruce E. (University of California, Santa Barbara)",47,2,0.22,3.42,,https://app.dimensions.ai/details/publication/pub.1047720929,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
15,100,pub.1037792122,10.1046/j.1461-0248.2001.00251.x,,,Compensatory growth and competitive ability of an invasive weed are enhanced by soil fungi and native neighbours,Ecology Letters,,,2001-09,2001,4,5,429-433,Closed,Article,"Callaway, Ragan; Newingham, Beth; Zabinski, Cathy A.; Mahall, Bruce E.",,"Callaway, Ragan (University of Montana); Newingham, Beth (University of Montana); Zabinski, Cathy A. (University of Montana); Mahall, Bruce E. (University of California, Santa Barbara)",84,6,,7.28,,https://app.dimensions.ai/details/publication/pub.1037792122,0503 Soil Sciences; 05 Environmental Sciences,0503 Soil Sciences,05 Environmental Sciences,,,
16,400,pub.1007558458,10.1007/s004420050958,28308361,,Coexistence and interference between a native perennial grass and non-native annual grasses in California,Oecologia,,,1999-12,1999,121,4,518-526,All OA; Gold,Article,"Hamilton, J. G.; Holzapfel, Claus; Mahall, Bruce E.",,"Hamilton, J. G. (University of California, Santa Barbara); Holzapfel, Claus (University of California, Santa Barbara); Mahall, Bruce E. (University of California, Santa Barbara)",124,8,0.95,,https://link.springer.com/content/pdf/10.1007%2Fs004420050958.pdf,https://app.dimensions.ai/details/publication/pub.1007558458,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
17,100,pub.1035933674,10.1890/0012-9658(1999)080[1747:bfaibs]2.0.co;2,,,BIDIRECTIONAL FACILITATION AND INTERFERENCE BETWEEN SHRUBS AND ANNUALS IN THE MOJAVE DESERT,Ecology,,,1999-07,1999,80,5,1747-1761,Closed,Article,"Holzapfel, Claus; Mahall, Bruce E.",,"Holzapfel, Claus (University of California, Santa Barbara); Mahall, Bruce E. (University of California, Santa Barbara)",264,19,,,,https://app.dimensions.ai/details/publication/pub.1035933674,0602 Ecology; 0502 Environmental Science and Management; 0607 Plant Biology; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0607 Plant Biology,05 Environmental Sciences,06 Biological Sciences
18,100,pub.1024222030,10.1016/s0065-2504(08)60032-x,,,Spatial Root Segregation: Are Plants Territorial?,Advances in Ecological Research,,,1999,1999,28,,145-180,Closed,Chapter,"Schenk, H.J.; Callaway, R.M.; Mahall, B.E.",,"Schenk, H.J. (University of York; University of Aberdeen); Callaway, R.M. (University of York; University of Aberdeen); Mahall, B.E. (University of York; University of Aberdeen)",181,18,,,,https://app.dimensions.ai/details/publication/pub.1024222030,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
19,200,pub.1069938904,10.2307/2445959,,,Effects of Regional Origin and Genotype on Intraspecific Root Communication in the Desert Shrub Ambrosia dumosa (Asteraceae),American Journal of Botany,,,1996-01,1996,83,1,93,"All OA; Green, Accepted & Submitted",Article,"Mahall, Bruce E.; Callaway, Ragan M.",,"Mahall, Bruce E. (); Callaway, Ragan M. ()",68,2,,,https://scholarworks.umt.edu/cgi/viewcontent.cgi?article=1289&context=biosci_pubs,https://app.dimensions.ai/details/publication/pub.1069938904,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0607 Plant Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
20,200,pub.1058606834,10.1086/297329,,,Variation in Leaf Structure and Function in Quercus douglasii Trees Differing in Root Architecture and Drought History,International Journal of Plant Sciences,,,1996-01,1996,157,1,129-135,"All OA; Green, Published",Article,"Callaway, Ragan M.; Mahall, Bruce E.",,"Callaway, Ragan M. (); Mahall, Bruce E. ()",8,0,,,https://scholarworks.umt.edu/cgi/viewcontent.cgi?article=1256&context=biosci_pubs,https://app.dimensions.ai/details/publication/pub.1058606834,0607 Plant Biology; 06 Biological Sciences; 0603 Evolutionary Biology,0607 Plant Biology,06 Biological Sciences,0603 Evolutionary Biology,,
21,100,pub.1100749184,10.1002/j.1537-2197.1996.tb13879.x,,,Effects of regional origin and genotype on intraspecific root communication in the desert shrub Ambrosia dumosa (Asteraceae),American Journal of Botany,,,1996-01,1996,83,1,93-98,"All OA; Green, Accepted & Submitted",Article,"Mahall, Bruce E.; Callaway, Ragan M.",,"Mahall, Bruce E. (University of California, Santa Barbara); Callaway, Ragan M. (University of Montana)",30,6,,,https://scholarworks.umt.edu/cgi/viewcontent.cgi?article=1289&context=biosci_pubs,https://app.dimensions.ai/details/publication/pub.1100749184,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
22,100,pub.1043909630,10.2307/1941462,,,Root Communication Mechanisms and Intracommunity Distributions of Two Mojave Desert Shrubs,Ecology,,,1992-12,1992,73,6,2145-2151,Closed,Article,"Mahall, B. E.; Callaway, R. M.",,"Mahall, B. E. (); Callaway, R. M. ()",217,18,,,,https://app.dimensions.ai/details/publication/pub.1043909630,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
23,100,pub.1016446490,10.2307/1941122,,,Facilitation and Interference of Quercus Douglasii on Understory Productivity in Central California,Ecology,,,1991-08,1991,72,4,1484-1499,Closed,Article,"Callaway, Ragan M.; Nadkarni, Nalini M.; Mahall, Bruce E.",,"Callaway, Ragan M. (); Nadkarni, Nalini M. (); Mahall, Bruce E. ()",226,13,,,,https://app.dimensions.ai/details/publication/pub.1016446490,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
24,200,pub.1069938226,10.2307/2445167,,,"Root Profiles and Competition between the Invasive, Exotic Perennial, Carpobrotus edulis, and Two Native Shrub Species in California Coastal Scrub",American Journal of Botany,,,1991-07,1991,78,7,885,Closed,Article,"D'Antonio, Carla M.; Mahall, Bruce E.",,"D'Antonio, Carla M. (); Mahall, Bruce E. ()",132,6,,,,https://app.dimensions.ai/details/publication/pub.1069938226,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0607 Plant Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
25,100,pub.1100753352,10.1002/j.1537-2197.1991.tb14492.x,,,"ROOT PROFILES AND COMPETITION BETWEEN THE INVASIVE, EXOTIC PERENNIAL, CARPOBROTUS EDULIS, AND TWO NATIVE SHRUB SPECIES IN CALIFORNIA COASTAL SCRUB",American Journal of Botany,,,1991-07,1991,78,7,885-894,Closed,Article,"D'Antonio, Carla M.; Mahall, Bruce E.",,"D'Antonio, Carla M. (University of California, Santa Barbara); Mahall, Bruce E. (University of California, Santa Barbara)",67,11,,,,https://app.dimensions.ai/details/publication/pub.1100753352,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
26,400,pub.1037785417,10.1073/pnas.88.3.874,11607151,PMC50916,Root communication among desert shrubs,Proceedings of the National Academy of Sciences,,,1991-02-01,1991,88,3,874-876,All OA; Gold,Article,"Mahall, B E; Callaway, R M",,"Mahall, B E (University of California, Santa Barbara); Callaway, R M (University of California, Santa Barbara)",168,15,1.82,,http://www.pnas.org/content/88/3/874.full.pdf,https://app.dimensions.ai/details/publication/pub.1037785417,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
27,200,pub.1069937052,10.2307/2443806,,,Differential Germination of Ray and Disc Achenes in Hemizonia increscens (Asteraceae),American Journal of Botany,,,1987-03,1987,74,3,303,Closed,Article,"Tanowitz, Barry D.; Salopek, Paul F.; Mahall, Bruce E.",,"Tanowitz, Barry D. (); Salopek, Paul F. (); Mahall, Bruce E. ()",29,0,,,,https://app.dimensions.ai/details/publication/pub.1069937052,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0607 Plant Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
28,100,pub.1100743640,10.1002/j.1537-2197.1987.tb08612.x,,,DIFFERENTIAL GERMINATION OF RAY AND DISC ACHENES IN HEMIZONIA INCRESCENS (ASTERACEAE),American Journal of Botany,,,1987-03,1987,74,3,303-312,Closed,Article,"Tanowitz, Barry D.; Salopek, Paul F.; Mahall, Bruce E.",,"Tanowitz, Barry D. (University of California, Santa Barbara); Salopek, Paul F. (University of California, Santa Barbara); Mahall, Bruce E. (University of California, Santa Barbara)",20,3,,,,https://app.dimensions.ai/details/publication/pub.1100743640,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0607 Plant Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,
29,100,pub.1041755573,10.2307/1942505,,,Quantitative Phenology and Water Relations of an Evergreen and a Deciduous Chaparral Shrub,Ecological Monographs,,,1986-02,1986,56,2,127-143,Closed,Article,"Gill, David S.; Mahall, Bruce E.",,"Gill, David S. (); Mahall, Bruce E. ()",48,3,,,,https://app.dimensions.ai/details/publication/pub.1041755573,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
30,400,pub.1004286397,10.1007/bf00379668,28311861,,Drought and changes in leaf orientation for two California chaparral shrubs: Ceanothus megacarpus and Ceanothus crassifolius,Oecologia,,,1985-03,1985,65,4,531-535,Closed,Article,"Comstock, J. P.; Mahall, B. E.","Comstock, J. P.","Comstock, J. P. (University of California, Santa Barbara); Mahall, B. E. (University of California, Santa Barbara)",39,1,0.51,,,https://app.dimensions.ai/details/publication/pub.1004286397,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
31,400,pub.1005865984,10.1007/bf00379315,28310529,,"Experimental removal of intraspecific competitors — effects on water relations and productivity of a desert bunchgrass, Hilaria rigida",Oecologia,,,1983-10,1983,60,1,21-24,Closed,Article,"Robberecht, Ronald; Mahall, Bruce E.; Nobel, Park S.","Nobel, Park S.","Robberecht, Ronald (University of California Los Angeles); Mahall, Bruce E. (University of California Los Angeles); Nobel, Park S. (University of California Los Angeles)",49,2,2.67,,,https://app.dimensions.ai/details/publication/pub.1005865984,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
32,200,pub.1058637006,10.1086/337353,,,"Host Specificity by a Mistletoe, Phoradendron villosum (Nutt.) Nutt. Subsp. Villosum, on Three Oak Species in California",International Journal of Plant Sciences,,,1983-03,1983,144,1,124-131,Closed,Article,"Thomson, Vivian E.; Mahall, Bruce E.",,"Thomson, Vivian E. (); Mahall, Bruce E. ()",15,1,,,,https://app.dimensions.ai/details/publication/pub.1058637006,0607 Plant Biology; 06 Biological Sciences; 0603 Evolutionary Biology,0607 Plant Biology,06 Biological Sciences,0603 Evolutionary Biology,,
33,100,pub.1051518619,10.1111/j.1399-3054.1983.tb00898.x,,,"Salinity and root conductivity: differential responses of a coastal succulent halophyte, Salicornia virginica, and a weedy glycophyte, Raphanus sativus",Physiologia Plantarum,,,1983-02,1983,57,2,189-195,Closed,Article,"Ownbey, R. S.; Mahall, B. E.",,"Ownbey, R. S. (); Mahall, B. E. (University of California, Santa Barbara)",15,1,,,,https://app.dimensions.ai/details/publication/pub.1051518619,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
34,400,pub.1043979990,10.1007/bf00379995,28309950,,"Effects of irradiance on growth, photosynthesis, and water use efficiency of seedlings of the chaparral shrub, Ceanothus megacarpus",Oecologia,,,1982-09,1982,54,3,291-299,Closed,Article,"Mahall, B. E.; Schlesinger, W. H.","Mahall, B. E.","Mahall, B. E. (University of California, Santa Barbara); Schlesinger, W. H. (Duke University)",22,2,0.59,,,https://app.dimensions.ai/details/publication/pub.1043979990,0607 Plant Biology; 0699 Other Biological Sciences; 06 Biological Sciences,0607 Plant Biology,0699 Other Biological Sciences,06 Biological Sciences,,
35,100,pub.1036851527,10.4319/lo.1982.27.5.0954,,,Preliminary observations on the effects of flooding and desiccation upon the net photosynthetic rates of high intertidal estuarine sediments,Limnology and Oceanography,,,1982-09,1982,27,5,954-958,All OA; Gold,Article,"Holmes, Robert W.; Mahall, Bruce E.",,"Holmes, Robert W. (University of California, Santa Barbara); Mahall, Bruce E. (University of California, Santa Barbara)",16,0,,,https://aslopubs.onlinelibrary.wiley.com/doi/pdf/10.4319/lo.1982.27.5.0954,https://app.dimensions.ai/details/publication/pub.1036851527,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
36,100,pub.1045356331,10.1007/bf02860536,,,Ceanothus megacarpus chaparral: A synthesis of ecosystem processes during development and annual growth,The Botanical Review,,,1982-01,1982,48,1,71-117,Closed,Article,"Schlesinger, William H.; Gray, John T.; Gill, David S.; Mahall, Bruce E.",,"Schlesinger, William H. (Duke University); Gray, John T. (University of California, Santa Barbara); Gill, David S. (Cornell University); Mahall, Bruce E. (University of California, Santa Barbara)",62,1,,,,https://app.dimensions.ai/details/publication/pub.1045356331,0607 Plant Biology; 0602 Ecology; 06 Biological Sciences,0607 Plant Biology,0602 Ecology,06 Biological Sciences,,
37,200,pub.1069852842,10.2307/2259643,,,An Experimental Analysis of Structure in a Desert Plant Community,Journal of Ecology,,,1981-11,1981,69,3,883,Closed,Article,"Fonteyn, P. J.; Mahall, B. E.",,"Fonteyn, P. J. (); Mahall, B. E. ()",122,6,,,,https://app.dimensions.ai/details/publication/pub.1069852842,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
38,100,pub.1003346330,10.1038/275544a0,,,Competition among desert perennials,Nature,,,1978-10,1978,275,5680,544-545,Closed,Article,"FONTEYN, PAUL J.; MAHALL, BRUCE E.",,"FONTEYN, PAUL J. (University of California, Santa Barbara; Texas State University); MAHALL, BRUCE E. (University of California, Santa Barbara)",73,4,,,,https://app.dimensions.ai/details/publication/pub.1003346330,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
39,200,pub.1069852058,10.2307/2258810,,,The Ecotone Between Spartina Foliosa Trin. and Salicornia Virginica L. in Salt Marshes of Northern San Francisco Bay: III. Soil Aeration and Tidal Immersion,Journal of Ecology,,,1976-11,1976,64,3,811,Closed,Article,"Mahall, Bruce E.; Park, Roderic B.",,"Mahall, Bruce E. (); Park, Roderic B. ()",64,2,,,,https://app.dimensions.ai/details/publication/pub.1069852058,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
40,200,pub.1069852057,10.2307/2258809,,,The Ecotone Between Spartina Foliosa Trin. and Salicornia Virginica L. in Salt Marshes of Northern San Francisco Bay: II. Soil Water and Salinity,Journal of Ecology,,,1976-11,1976,64,3,793,Closed,Article,"Mahall, Bruce E.; Park, Roderic B.",,"Mahall, Bruce E. (); Park, Roderic B. ()",89,3,,,,https://app.dimensions.ai/details/publication/pub.1069852057,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
41,200,pub.1069852017,10.2307/2258766,,,The Ecotone Between Spartina Foliosa Trin. and Salicornia Virginica L. in Salt Marshes of Northern San Francisco Bay: I. Biomass and Production,Journal of Ecology,,,1976-07,1976,64,2,421,Closed,Article,"Mahall, Bruce E.; Park, Roderic B.",,"Mahall, Bruce E. (); Park, Roderic B. ()",50,3,,,,https://app.dimensions.ai/details/publication/pub.1069852017,05 Environmental Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,05 Environmental Sciences,06 Biological Sciences,07 Agricultural and Veterinary Sciences,,
