,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Carrie V Kappel. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1112117068,10.1098/rspb.2018.2544,30963937,PMC6408596,Parsing human and biophysical drivers of coral reef regimes,Proceedings of The Royal Society B Biological Sciences,,,2019-02-13,2019,286,1896,20182544,All OA; Gold,Article,"Jouffray, Jean-Baptiste; Wedding, Lisa M.; Norström, Albert V.; Donovan, Mary K.; Williams, Gareth J.; Crowder, Larry B.; Erickson, Ashley L.; Friedlander, Alan M.; Graham, Nicholas A. J.; Gove, Jamison M.; Kappel, Carrie V.; Kittinger, John N.; Lecky, Joey; Oleson, Kirsten L. L.; Selkoe, Kimberly A.; White, Crow; Williams, Ivor D.; Nyström, Magnus",,"Jouffray, Jean-Baptiste (Stockholm University; Royal Swedish Academy of Sciences); Wedding, Lisa M. (Stanford University); Norström, Albert V. (Stockholm University); Donovan, Mary K. (University of Hawaii at Manoa); Williams, Gareth J. (Bangor University); Crowder, Larry B. (Stanford University); Erickson, Ashley L. (Stanford University); Friedlander, Alan M. (National Geographic Society); Graham, Nicholas A. J. (Lancaster University); Gove, Jamison M. (Pacific Islands Fisheries Science Center); Kappel, Carrie V. (University of California, Santa Barbara); Kittinger, John N. (Conservation International; Arizona State University); Lecky, Joey (University of Hawaii at Manoa); Oleson, Kirsten L. L. (University of Hawaii at Manoa); Selkoe, Kimberly A. (University of California, Santa Barbara); White, Crow (California Polytechnic State University); Williams, Ivor D. (Pacific Islands Fisheries Science Center); Nyström, Magnus (Stockholm University)",7,7,,,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2018.2544,https://app.dimensions.ai/details/publication/pub.1112117068,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
2,500,pub.1109859696,10.1038/s41598-018-35057-4,30446687,PMC6240066,Combining fish and benthic communities into multiple regimes reveals complex reef dynamics,Scientific Reports,,Animals; Biodiversity; Coral Reefs; Ecosystem; Fishes; Geography; Hawaii; Islands,2018-12,2018,8,1,16943,All OA; Gold,Article,"Donovan, Mary K.; Friedlander, Alan M.; Lecky, Joey; Jouffray, Jean-Baptiste; Williams, Gareth J.; Wedding, Lisa M.; Crowder, Larry B.; Erickson, Ashley L.; Graham, Nick A. J.; Gove, Jamison M.; Kappel, Carrie V.; Karr, Kendra; Kittinger, John N.; Norström, Albert V.; Nyström, Magnus; Oleson, Kirsten L. L.; Stamoulis, Kostantinos A.; White, Crow; Williams, Ivor D.; Selkoe, Kimberly A.","Donovan, Mary K.","Donovan, Mary K. (University of Hawaii at Manoa); Friedlander, Alan M. (National Geographic Society); Lecky, Joey (University of Hawaii at Manoa; National Oceanic and Atmospheric Administration); Jouffray, Jean-Baptiste (Stockholm University; Royal Swedish Academy of Sciences); Williams, Gareth J. (Bangor University); Wedding, Lisa M. (Stanford University); Crowder, Larry B. (Stanford University); Erickson, Ashley L. (Stanford University); Graham, Nick A. J. (Lancaster University); Gove, Jamison M. (Pacific Islands Fisheries Science Center); Kappel, Carrie V. (University of California, Santa Barbara); Karr, Kendra (); Kittinger, John N. (Conservation International; Arizona State University); Norström, Albert V. (Stockholm University); Nyström, Magnus (Stockholm University); Oleson, Kirsten L. L. (University of Hawaii at Manoa); Stamoulis, Kostantinos A. (University of Hawaii at Manoa; Curtin University); White, Crow (California Polytechnic State University); Williams, Ivor D. (Pacific Islands Fisheries Science Center); Selkoe, Kimberly A. (University of California, Santa Barbara)",6,6,,,https://www.nature.com/articles/s41598-018-35057-4.pdf,https://app.dimensions.ai/details/publication/pub.1109859696,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
3,500,pub.1101244831,10.1038/s41467-018-03249-1,29507321,PMC5838171,Marine spatial planning makes room for offshore aquaculture in crowded coastal waters,Nature Communications,,Aquaculture; Conservation of Natural Resources; Ecosystem; Geography; Seawater,2018-12,2018,9,1,945,All OA; Gold,Article,"Lester, S. E.; Stevens, J. M.; Gentry, R. R.; Kappel, C. V.; Bell, T. W.; Costello, C. J.; Gaines, S. D.; Kiefer, D. A.; Maue, C. C.; Rensel, J. E.; Simons, R. D.; Washburn, L.; White, C.","Lester, S. E.","Lester, S. E. (Florida State University); Stevens, J. M. (California Polytechnic State University); Gentry, R. R. (University of California, Santa Barbara); Kappel, C. V. (University of California, Santa Barbara); Bell, T. W. (University of California, Santa Barbara); Costello, C. J. (University of California, Santa Barbara); Gaines, S. D. (University of California, Santa Barbara); Kiefer, D. A. (University of Southern California); Maue, C. C. (Stanford University); Rensel, J. E. (); Simons, R. D. (University of California, Santa Barbara); Washburn, L. (University of California, Santa Barbara); White, C. (California Polytechnic State University)",16,16,,,https://www.nature.com/articles/s41467-018-03249-1.pdf,https://app.dimensions.ai/details/publication/pub.1101244831,0602 Ecology; 0405 Oceanography; 0704 Fisheries Sciences; 04 Earth Sciences; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0602 Ecology,0405 Oceanography,0704 Fisheries Sciences,04 Earth Sciences,06 Biological Sciences
4,500,pub.1106406659,10.1126/sciadv.aao1378,30167455,PMC6114984,Improved fisheries management could offset many negative effects of climate change,Science Advances,,Animals; Climate Change; Conservation of Natural Resources; Ecosystem; Fisheries; Fishes,2018-08,2018,4,8,eaao1378,All OA; Gold,Article,"Gaines, Steven D.; Costello, Christopher; Owashi, Brandon; Mangin, Tracey; Bone, Jennifer; Molinos, Jorge García; Burden, Merrick; Dennis, Heather; Halpern, Benjamin S.; Kappel, Carrie V.; Kleisner, Kristin M.; Ovando, Daniel",,"Gaines, Steven D. (University of California, Santa Barbara); Costello, Christopher (University of California, Santa Barbara); Owashi, Brandon (University of California, Santa Barbara); Mangin, Tracey (University of California, Santa Barbara); Bone, Jennifer (University of California, Santa Barbara); Molinos, Jorge García (Hokkaido University); Burden, Merrick (Environmental Defense Fund); Dennis, Heather (San Francisco Bay Conservation and Development Commission); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Kappel, Carrie V. (University of California, Santa Barbara); Kleisner, Kristin M. (Environmental Defense Fund); Ovando, Daniel (University of California, Santa Barbara)",20,20,,,https://advances.sciencemag.org/content/advances/4/8/eaao1378.full.pdf,https://app.dimensions.ai/details/publication/pub.1106406659,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
5,200,pub.1105453633,10.1073/pnas.1808737115,29991573,PMC6048495,Opinion: Offshore aquaculture in the United States: Untapped potential in need of smart policy,Proceedings of the National Academy of Sciences,,Ecosystem; Fisheries; Humans; Oceans and Seas; Seafood; United States,2018-07-10,2018,115,28,7162-7165,All OA; Gold,Article,"Lester, Sarah E.; Gentry, Rebecca R.; Kappel, Carrie V.; White, Crow; Gaines, Steven D.",,"Lester, Sarah E. (Florida State University); Gentry, Rebecca R. (University of California, Santa Barbara; Florida State University); Kappel, Carrie V. (University of California, Santa Barbara); White, Crow (California Polytechnic State University); Gaines, Steven D. (University of California, Santa Barbara)",12,12,,,https://www.pnas.org/content/pnas/115/28/7162.full.pdf,https://app.dimensions.ai/details/publication/pub.1105453633,,,,,,
6,100,pub.1101076923,10.1111/1752-1688.12619,,,"Water Transactions for Streamflow Restoration, Water Supply Reliability, and Rural Economic Vitality in the Western United States",JAWRA Journal of the American Water Resources Association,,,2018-04,2018,54,2,487-504,All OA; Gold,Article,"Kendy, Eloise; Aylward, Bruce; Ziemer, Laura S.; Richter, Brian D.; Colby, Bonnie G.; Grantham, Theodore E.; Sanchez, Leslie; Dicharry, Will B.; Powell, Emily M.; Martin, Season; Culp, Peter W.; Szeptycki, Leon F.; Kappel, Carrie V.",,"Kendy, Eloise (); Aylward, Bruce (); Ziemer, Laura S. (); Richter, Brian D. (); Colby, Bonnie G. (University of Arizona); Grantham, Theodore E. (); Sanchez, Leslie (Tufts University); Dicharry, Will B. (); Powell, Emily M. (); Martin, Season (); Culp, Peter W. (); Szeptycki, Leon F. (); Kappel, Carrie V. ()",20,20,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/1752-1688.12619,https://app.dimensions.ai/details/publication/pub.1101076923,09 Engineering; 0905 Civil Engineering; 0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 0907 Environmental Engineering,09 Engineering,0905 Civil Engineering,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,0907 Environmental Engineering
7,500,pub.1101305287,10.1371/journal.pone.0189792,29494613,PMC5832214,Advancing the integration of spatial data to map human and natural drivers on coral reefs,PLoS ONE,,Aquaculture; Conservation of Natural Resources; Coral Reefs; Ecosystem; Geographic Mapping; Hawaii; Humans; Introduced Species; Population Density,2018-03-01,2018,13,3,e0189792,All OA; Gold,Article,"Wedding, Lisa M.; Lecky, Joey; Gove, Jamison M.; Walecka, Hilary R.; Donovan, Mary K.; Williams, Gareth J.; Jouffray, Jean-Baptiste; Crowder, Larry B.; Erickson, Ashley; Falinski, Kim; Friedlander, Alan M.; Kappel, Carrie V.; Kittinger, John N.; McCoy, Kaylyn; Norström, Albert; Nyström, Magnus; Oleson, Kirsten L. L.; Stamoulis, Kostantinos A.; White, Crow; Selkoe, Kimberly A.",,"Wedding, Lisa M. (Lucile Packard Children's Hospital); Lecky, Joey (University of Hawaii at Manoa; Pacific Islands Fisheries Science Center); Gove, Jamison M. (Pacific Islands Fisheries Science Center); Walecka, Hilary R. (Lucile Packard Children's Hospital; University of California, Santa Barbara); Donovan, Mary K. (University of Hawaii at Manoa); Williams, Gareth J. (Bangor University); Jouffray, Jean-Baptiste (Stockholm University); Crowder, Larry B. (Lucile Packard Children's Hospital); Erickson, Ashley (Lucile Packard Children's Hospital); Falinski, Kim (University of Hawaii at Manoa); Friedlander, Alan M. (University of Hawaii at Manoa; National Geographic Society); Kappel, Carrie V. (University of California, Santa Barbara); Kittinger, John N. (Conservation International; Arizona State University); McCoy, Kaylyn (University of Hawaii at Manoa); Norström, Albert (Stockholm University; Royal Swedish Academy of Sciences); Nyström, Magnus (Stockholm University; Royal Swedish Academy of Sciences); Oleson, Kirsten L. L. (University of Hawaii at Manoa); Stamoulis, Kostantinos A. (University of Hawaii at Manoa; Curtin University); White, Crow (California Polytechnic State University); Selkoe, Kimberly A. (University of California, Santa Barbara; University of Hawaii at Manoa)",18,18,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0189792&type=printable,https://app.dimensions.ai/details/publication/pub.1101305287,0602 Ecology; 0502 Environmental Science and Management; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0501 Ecological Applications,05 Environmental Sciences,06 Biological Sciences
8,100,pub.1101148869,10.1038/s41558-018-0103-3,,,Turning Paris into reality at the University of California,Nature Climate Change,,,2018-03,2018,8,3,183-185,"All OA; Green, Published",Article,"Victor, David G.; Abdulla, Ahmed; Auston, David; Brase, Wendell; Brouwer, Jack; Brown, Karl; Davis, Steven J.; Kappel, Carrie V.; Meier, Alan; Modera, Mark; Zarin Pass, Rebecca; Phillips, David; Sager, Jordan; Weil, David; TomKat Natural Gas Exit Strategies Working Group","Victor, David G.","Victor, David G. (University of California, San Diego; Brookings Institution); Abdulla, Ahmed (University of California, San Diego); Auston, David (University of California, Santa Barbara); Brase, Wendell (University of California, Irvine); Brouwer, Jack (University of California, Irvine); Brown, Karl (University of California, Berkeley); Davis, Steven J. (University of California, Irvine); Kappel, Carrie V. (University of California, Santa Barbara); Meier, Alan (Lawrence Berkeley National Laboratory; University of California, Davis); Modera, Mark (University of California, Davis); Zarin Pass, Rebecca (Lawrence Berkeley National Laboratory); Phillips, David (University of California System); Sager, Jordan (University of California, Santa Barbara); Weil, David (University of California, San Diego); TomKat Natural Gas Exit Strategies Working Group ()",3,3,,,https://escholarship.org/content/qt9h18h7bp/qt9h18h7bp.pdf?t=p6lt7o,https://app.dimensions.ai/details/publication/pub.1101148869,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences,0502 Environmental Science and Management,0401 Atmospheric Sciences
9,100,pub.1093114947,10.1016/j.ecoser.2017.10.010,,,Distilling the role of ecosystem services in the Sustainable Development Goals,Ecosystem Services,,,2018-02,2018,29,Ecol. Lett. 9 10 2006,70-82,"All OA; Green, Accepted & Submitted",Article,"Wood, Sylvia L.R.; Jones, Sarah K.; Johnson, Justin A.; Brauman, Kate A.; Chaplin-Kramer, Rebecca; Fremier, Alexander; Girvetz, Evan; Gordon, Line J.; Kappel, Carrie V.; Mandle, Lisa; Mulligan, Mark; O'Farrell, Patrick; Smith, William K.; Willemen, Louise; Zhang, Wei; DeClerck, Fabrice A.","Wood, Sylvia L.R.","Wood, Sylvia L.R. (CGIAR; Columbia University); Jones, Sarah K. (CGIAR; King's College London); Johnson, Justin A. (University of Minnesota); Brauman, Kate A. (University of Minnesota); Chaplin-Kramer, Rebecca (Stanford University); Fremier, Alexander (Washington State University); Girvetz, Evan (International Center for Tropical Agriculture); Gordon, Line J. (Stockholm University); Kappel, Carrie V. (University of California, Santa Barbara); Mandle, Lisa (Stanford University); Mulligan, Mark (King's College London); O'Farrell, Patrick (Council for Scientific and Industrial Research); Smith, William K. (University of Arizona); Willemen, Louise (University of Twente); Zhang, Wei (); DeClerck, Fabrice A. (CGIAR; Stockholm University)",42,42,,,https://kclpure.kcl.ac.uk/portal/files/80399660/Distilling_the_role_of_ecosystem_WOOD_Accepted16October2017_GREEN_AAM.pdf,https://app.dimensions.ai/details/publication/pub.1093114947,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
10,500,pub.1028694834,10.1016/j.jenvman.2016.12.067,28082251,,Upstream solutions to coral reef conservation: The payoffs of smart and cooperative decision-making,Journal of Environmental Management,,"Conservation of Natural Resources; Coral Reefs; Ecosystem; Geologic Sediments; Models, Theoretical",2017-04,2017,191,J. Soil Water Conserv. 43 1988,8-18,All OA; Gold,Article,"Oleson, Kirsten L.L.; Falinski, Kim A.; Lecky, Joey; Rowe, Clara; Kappel, Carrie V.; Selkoe, Kimberly A.; White, Crow","Oleson, Kirsten L.L.","Oleson, Kirsten L.L. (University of Hawaii at Manoa); Falinski, Kim A. (University of Hawaii at Manoa); Lecky, Joey (University of Hawaii at Manoa); Rowe, Clara (Yale University); Kappel, Carrie V. (University of California, Santa Barbara); Selkoe, Kimberly A. (University of California, Santa Barbara; University of Hawaii at Manoa); White, Crow (California Polytechnic State University)",11,10,0.72,6.55,https://doi.org/10.1016/j.jenvman.2016.12.067,https://app.dimensions.ai/details/publication/pub.1028694834,14 Economics; 0501 Ecological Applications; 1402 Applied Economics; 05 Environmental Sciences; 0502 Environmental Science and Management,14 Economics,0501 Ecological Applications,1402 Applied Economics,05 Environmental Sciences,0502 Environmental Science and Management
11,100,pub.1023615207,10.1016/j.marpol.2016.11.011,,,Costly stakeholder participation creates inertia in marine ecosystems,Marine Policy,,,2017-02,2017,76,,122-129,Closed,Article,"Lynham, J.; Halpern, B.S.; Blenckner, T.; Essington, T.; Estes, J.; Hunsicker, M.; Kappel, C.; Salomon, A.K.; Scarborough, C.; Selkoe, K.A.; Stier, A.","Lynham, J.","Lynham, J. (University of Hawaii at Manoa); Halpern, B.S. (University of California, Santa Barbara; Imperial College London); Blenckner, T. (Stockholm University); Essington, T. (); Estes, J. (University of California, Santa Cruz); Hunsicker, M. (University of California, Santa Barbara); Kappel, C. (University of California, Santa Barbara); Salomon, A.K. (Simon Fraser University); Scarborough, C. (University of California, Santa Barbara); Selkoe, K.A. (University of California, Santa Barbara; University of Hawaii at Manoa); Stier, A. (University of California, Santa Barbara)",8,7,,8.4,,https://app.dimensions.ai/details/publication/pub.1023615207,1801 Law; 1606 Political Science; 16 Studies in Human Society; 18 Law and Legal Studies; 05 Environmental Sciences; 0502 Environmental Science and Management,1801 Law,1606 Political Science,16 Studies in Human Society,18 Law and Legal Studies,05 Environmental Sciences
12,500,pub.1031155833,10.1002/ece3.2637,28116067,PMC5243789,Offshore aquaculture: Spatial planning principles for sustainable development,Ecology and Evolution,,,2017-01,2017,7,2,733-743,All OA; Gold,Article,"Gentry, Rebecca R.; Lester, Sarah E.; Kappel, Carrie V.; White, Crow; Bell, Tom W.; Stevens, Joel; Gaines, Steven D.",,"Gentry, Rebecca R. (University of California, Santa Barbara); Lester, Sarah E. (Florida State University); Kappel, Carrie V. (University of California, Santa Barbara); White, Crow (); Bell, Tom W. (University of California, Santa Barbara); Stevens, Joel (); Gaines, Steven D. (University of California, Santa Barbara)",27,26,0.56,11.42,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.2637,https://app.dimensions.ai/details/publication/pub.1031155833,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
13,100,pub.1007649127,10.1111/conl.12245,,,Integrating Expert Perceptions into Food Web Conservation and Management,Conservation Letters,,,2017-01,2017,10,1,67-76,All OA; Gold,Article,"Stier, Adrian C.; Samhouri, Jameal F.; Gray, Steven; Martone, Rebecca G.; Mach, Megan E.; Halpern, Benjamin S.; Kappel, Carrie V.; Scarborough, Courtney; Levin, Phillip S.",,"Stier, Adrian C. (University of California, Santa Barbara); Samhouri, Jameal F. (Northwest Fisheries Science Center); Gray, Steven (Michigan State University); Martone, Rebecca G. (); Mach, Megan E. (); Halpern, Benjamin S. (University of California, Santa Barbara); Kappel, Carrie V. (University of California, Santa Barbara); Scarborough, Courtney (University of California, Santa Barbara); Levin, Phillip S. (Northwest Fisheries Science Center)",13,5,,5.8,https://doi.org/10.1111/conl.12245,https://app.dimensions.ai/details/publication/pub.1007649127,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
14,100,pub.1012676859,10.1016/j.ocecoaman.2016.03.014,,,Combined impacts of natural and human disturbances on rocky shore communities,Ocean & Coastal Management,,,2016-06,2016,126,Austral. Ecol 26 2001,42-50,All OA; Gold,Article,"Micheli, Fiorenza; Heiman, Kimberly W.; Kappel, Carrie V.; Martone, Rebecca G.; Sethi, Suresh A.; Osio, Giacomo C.; Fraschetti, Simonetta; Shelton, Andrew O.; Tanner, Jacqui M.","Micheli, Fiorenza","Micheli, Fiorenza (Stanford University); Heiman, Kimberly W. (Muhlenberg College); Kappel, Carrie V. (University of California, Santa Barbara); Martone, Rebecca G. (); Sethi, Suresh A. (); Osio, Giacomo C. (Joint Research Centre); Fraschetti, Simonetta (University of Salento); Shelton, Andrew O. (Northwest Fisheries Science Center); Tanner, Jacqui M. (Stanford University)",12,9,,,https://manuscript.elsevier.com/S0964569116300394/pdf/S0964569116300394.pdf,https://app.dimensions.ai/details/publication/pub.1012676859,16 Studies in Human Society; 04 Earth Sciences; 05 Environmental Sciences,16 Studies in Human Society,04 Earth Sciences,05 Environmental Sciences,,
15,100,pub.1029011884,10.3389/fmars.2016.00062,,,Responses of Marine Organisms to Climate Change across Oceans,Frontiers in Marine Science,,,2016-05-04,2016,3,,62,All OA; Gold,Article,"Poloczanska, Elvira S.; Burrows, Michael T.; Brown, Christopher J.; Molinos, Jorge García; Halpern, Benjamin S.; Hoegh-Guldberg, Ove; Kappel, Carrie V.; Moore, Pippa J.; Richardson, Anthony J.; Schoeman, David S.; Sydeman, William J.",,"Poloczanska, Elvira S. (Commonwealth Scientific and Industrial Research Organisation; University of Queensland); Burrows, Michael T. (Scottish Association For Marine Science); Brown, Christopher J. (Griffith University); Molinos, Jorge García (Scottish Association For Marine Science; National Institute for Environmental Studies; Hokkaido University); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Hoegh-Guldberg, Ove (University of Queensland); Kappel, Carrie V. (University of California, Santa Barbara); Moore, Pippa J. (Aberystwyth University; Edith Cowan University); Richardson, Anthony J. (Commonwealth Scientific and Industrial Research Organisation; University of Queensland); Schoeman, David S. (University of the Sunshine Coast); Sydeman, William J. (Farallon Institute; University of California, Davis)",139,108,,38.04,https://www.frontiersin.org/articles/10.3389/fmars.2016.00062/pdf,https://app.dimensions.ai/details/publication/pub.1029011884,0602 Ecology; 0405 Oceanography; 0501 Ecological Applications; 06 Biological Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,0602 Ecology,0405 Oceanography,0501 Ecological Applications,06 Biological Sciences,04 Earth Sciences
16,400,pub.1036448569,10.1890/14-2200,27411240,,Characterizing driver–response relationships in marine pelagic ecosystems for improved ocean management,Ecological Applications,,"Animals; Biomass; Databases, Factual; Ecosystem; Marine Biology; Models, Biological; Oceans and Seas; Population Density",2016-04,2016,26,3,651-663,"All OA; Green, Accepted & Submitted",Article,"Hunsicker, Mary E.; Kappel, Carrie V.; Selkoe, Kimberly A.; Halpern, Benjamin S.; Scarborough, Courtney; Mease, Lindley; Amrhein, Alisan",,"Hunsicker, Mary E. (University of California, Santa Barbara); Kappel, Carrie V. (University of California, Santa Barbara); Selkoe, Kimberly A. (University of California, Santa Barbara; University of Hawaii at Manoa); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Scarborough, Courtney (University of California, Santa Barbara); Mease, Lindley (Stanford University); Amrhein, Alisan (University of California, Santa Barbara)",32,19,0.85,8.3,http://spiral.imperial.ac.uk/bitstream/10044/1/33775/2/Hunsicker_etal_EcoApps_2016_preprint.pdf,https://app.dimensions.ai/details/publication/pub.1036448569,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
17,100,pub.1019945361,10.3389/fmars.2015.00095,,,Using Ecological Thresholds to Inform Resource Management: Current Options and Future Possibilities,Frontiers in Marine Science,,,2015-11-09,2015,2,,95,All OA; Gold,Article,"Foley, Melissa M.; Martone, Rebecca G.; Fox, Michael D.; Kappel, Carrie V.; Mease, Lindley A.; Erickson, Ashley L.; Halpern, Benjamin S.; Selkoe, Kimberly A.; Taylor, Peter; Scarborough, Courtney",,"Foley, Melissa M. (); Martone, Rebecca G. (); Fox, Michael D. (); Kappel, Carrie V. (University of California, Santa Barbara); Mease, Lindley A. (); Erickson, Ashley L. (); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Selkoe, Kimberly A. (University of California, Santa Barbara; University of Hawaii at Manoa); Taylor, Peter (); Scarborough, Courtney (University of California, Santa Barbara)",26,16,,5.7,https://www.frontiersin.org/articles/10.3389/fmars.2015.00095/pdf,https://app.dimensions.ai/details/publication/pub.1019945361,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
