,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Douglas J Mccauley. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,100,pub.1113056153,10.1080/01431161.2019.1594440,,,Quantifying coconut palm extent on Pacific islands using spectral and textural analysis of very high resolution imagery,International Journal of Remote Sensing,,,2019-10-02,2019,40,19,1-27,Closed,Article,"Burnett, Michael W.; White, Timothy D.; McCauley, Douglas J.; De Leo, Giulio A.; Micheli, Fiorenza",,"Burnett, Michael W. (Stanford University); White, Timothy D. (Stanford University); McCauley, Douglas J. (University of California, Santa Barbara); De Leo, Giulio A. (Stanford University); Micheli, Fiorenza (Stanford University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1113056153,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,09 Engineering,0909 Geomatic Engineering,04 Earth Sciences,0406 Physical Geography and Environmental Geoscience,
2,500,pub.1113668325,10.1038/s41586-019-1132-4,31019302,,Greater vulnerability to warming of marine versus terrestrial ectotherms,Nature,,Animals; Aquatic Organisms; Biodiversity; Body Temperature; Conservation of Natural Resources; Ecosystem; Global Warming; Hot Temperature; Oceans and Seas; Time Factors,2019-05,2019,569,7754,108-111,Closed,Article,"Pinsky, Malin L.; Eikeset, Anne Maria; McCauley, Douglas J.; Payne, Jonathan L.; Sunday, Jennifer M.","Pinsky, Malin L.","Pinsky, Malin L. (Rutgers, The State University of New Jersey); Eikeset, Anne Maria (); McCauley, Douglas J. (University of California, Santa Barbara); Payne, Jonathan L. (Stanford University); Sunday, Jennifer M. (McGill University)",20,20,,,,https://app.dimensions.ai/details/publication/pub.1113668325,0602 Ecology; 0502 Environmental Science and Management; 0603 Evolutionary Biology; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0603 Evolutionary Biology,0501 Ecological Applications,05 Environmental Sciences
3,100,pub.1112519652,10.1007/s00338-019-01781-0,,,"Chemistry of the consumption and excretion of the bumphead parrotfish (Bolbometopon muricatum), a coral reef mega-consumer",Coral Reefs,,,2019-04,2019,38,2,347-357,Closed,Article,"Goldberg, E. Grace; Raab, Ted K.; Desalles, Paul; Briggs, Amy A.; Dunbar, Robert B.; Millero, Frank J.; Woosley, Ryan J.; Young, Hillary S.; Micheli, Fiorenza; Mccauley, Douglas J.","Goldberg, E. Grace","Goldberg, E. Grace (Stanford University); Raab, Ted K. (Department of Plant Biology); Desalles, Paul (University of California, Santa Barbara); Briggs, Amy A. (University of Georgia); Dunbar, Robert B. (Stanford University); Millero, Frank J. (University of Miami); Woosley, Ryan J. (University of Miami); Young, Hillary S. (University of California, Santa Barbara); Micheli, Fiorenza (Stanford University); Mccauley, Douglas J. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1112519652,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
4,100,pub.1107499294,10.1111/conl.12610,,,Leveraging satellite technology to create true shark sanctuaries,Conservation Letters,,,2019-03,2019,12,2,e12610,All OA; Gold,Article,"Bradley, Darcy; Mayorga, Juan; McCauley, Douglas J.; Cabral, Reniel B.; Douglas, Patric; Gaines, Steven D.",,"Bradley, Darcy (University of California, Santa Barbara); Mayorga, Juan (University of California, Santa Barbara; National Geographic Society); McCauley, Douglas J. (University of California, Santa Barbara); Cabral, Reniel B. (University of California, Santa Barbara); Douglas, Patric (); Gaines, Steven D. (University of California, Santa Barbara)",3,3,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/conl.12610,https://app.dimensions.ai/details/publication/pub.1107499294,0704 Fisheries Sciences; 07 Agricultural and Veterinary Sciences,0704 Fisheries Sciences,07 Agricultural and Veterinary Sciences,,,
5,200,pub.1106012389,10.1111/aje.12543,,,Hippopotamus dung inputs accelerate fish predation by terrestrial consumers,African Journal of Ecology,,,2018-12,2018,56,4,1034-1038,Closed,Article,"Stears, Keenan; McCauley, Douglas J.",,"Stears, Keenan (University of California, Santa Barbara); McCauley, Douglas J. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1106012389,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
6,500,pub.1106120693,10.1007/s00442-018-4243-y,30099603,,Diverse effects of the common hippopotamus on plant communities and soil chemistry,Oecologia,,Animals; Artiodactyla; Ecosystem; Herbivory; Plants; Soil,2018-11,2018,188,3,821-835,Closed,Article,"McCauley, Douglas J.; Graham, Stuart I.; Dawson, Todd E.; Power, Mary E.; Ogada, Mordecai; Nyingi, Wanja D.; Githaiga, John M.; Nyunja, Judith; Hughey, Lacey F.; Brashares, Justin S.","McCauley, Douglas J.","McCauley, Douglas J. (University of California, Santa Barbara); Graham, Stuart I. (University of Washington); Dawson, Todd E. (University of California, Berkeley); Power, Mary E. (University of California, Berkeley); Ogada, Mordecai (); Nyingi, Wanja D. (National Museums of Kenya); Githaiga, John M. (University of Nairobi); Nyunja, Judith (Kenya Wildlife Service); Hughey, Lacey F. (University of California, Santa Barbara); Brashares, Justin S. (University of California, Berkeley)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1106120693,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
7,500,pub.1105947119,10.1126/sciadv.aau2161,30083613,PMC6070320,Wealthy countries dominate industrial fishing,Science Advances,,Animals; Developed Countries; Fisheries; Oceans and Seas,2018-08,2018,4,8,eaau2161,All OA; Gold,Article,"McCauley, Douglas J.; Jablonicky, Caroline; Allison, Edward H.; Golden, Christopher D.; Joyce, Francis H.; Mayorga, Juan; Kroodsma, David",,"McCauley, Douglas J. (University of California, Santa Barbara); Jablonicky, Caroline (University of California, Santa Barbara); Allison, Edward H. (University of Washington; WorldFish); Golden, Christopher D. (Harvard University); Joyce, Francis H. (University of California, Santa Barbara); Mayorga, Juan (University of California, Santa Barbara; National Geographic Society); Kroodsma, David ()",5,5,,,https://advances.sciencemag.org/content/advances/4/8/eaau2161.full.pdf,https://app.dimensions.ai/details/publication/pub.1105947119,1402 Applied Economics; 14 Economics,1402 Applied Economics,14 Economics,,,
8,100,pub.1103444459,10.1111/faf.12285,,,Empowering high seas governance with satellite vessel tracking data,Fish and Fisheries,,,2018-07,2018,19,4,729-739,All OA; Gold,Article,"Dunn, Daniel C; Jablonicky, Caroline; Crespo, Guillermo O; McCauley, Douglas J; Kroodsma, David A; Boerder, Kristina; Gjerde, Kristina M; Halpin, Patrick N",,"Dunn, Daniel C (Duke University); Jablonicky, Caroline (University of California, Santa Barbara); Crespo, Guillermo O (Duke University); McCauley, Douglas J (University of California, Santa Barbara); Kroodsma, David A (); Boerder, Kristina (Dalhousie University); Gjerde, Kristina M (); Halpin, Patrick N (Duke University)",14,14,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/faf.12285,https://app.dimensions.ai/details/publication/pub.1103444459,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
9,200,pub.1104564642,10.1073/pnas.1805120115,29899151,PMC6042129,Reply to Pincheira-Donoso and Hodgson: Both the largest and smallest vertebrates have elevated extinction risk,Proceedings of the National Academy of Sciences,,"Animals; Extinction, Biological; Risk; Vertebrates",2018-06-26,2018,115,26,201805120,All OA; Gold,Article,"Ripple, William J.; Wolf, Christopher; Newsome, Thomas M.; Hoffmann, Michael; Wirsing, Aaron J.; McCauley, Douglas J.",,"Ripple, William J. (Oregon State University); Wolf, Christopher (Oregon State University); Newsome, Thomas M. (Oregon State University; University of Sydney; University of Washington); Hoffmann, Michael (Zoological Society of London); Wirsing, Aaron J. (University of Washington); McCauley, Douglas J. (University of California, Santa Barbara)",0,0,,,https://www.pnas.org/content/pnas/115/26/E5847.full.pdf,https://app.dimensions.ai/details/publication/pub.1104564642,,,,,,
10,200,pub.1103854995,10.1098/rstb.2018.0210,29735744,PMC5941185,"Correction to ‘Migration in the Anthropocene: how collective navigation, environmental system and taxonomy shape the vulnerability of migratory species’",Philosophical Transactions of the Royal Society B Biological Sciences,,,2018-06-19,2018,373,1749,20180210,All OA; Gold,Article,"Hardesty-Moore, Molly; Deinet, Stefanie; Freeman, Robin; Titcomb, Georgia C; Dillon, Erin M; Stears, Keenan; Klope, Maggie; Bui, An; Orr, Devyn; Young, Hillary S; Kuile, Ana Miller-Ter; Hughey, Lacey F; McCauley, Douglas J",,"Hardesty-Moore, Molly (); Deinet, Stefanie (); Freeman, Robin (); Titcomb, Georgia C (); Dillon, Erin M (); Stears, Keenan (); Klope, Maggie (); Bui, An (); Orr, Devyn (); Young, Hillary S (); Kuile, Ana Miller-Ter (); Hughey, Lacey F (); McCauley, Douglas J ()",0,0,,,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2018.0210,https://app.dimensions.ai/details/publication/pub.1103854995,11 Medical and Health Sciences; 06 Biological Sciences,11 Medical and Health Sciences,06 Biological Sciences,,,
11,500,pub.1103975913,10.1073/pnas.1800407115,29760056,PMC5984519,Effects of the hippopotamus on the chemistry and ecology of a changing watershed,Proceedings of the National Academy of Sciences,,Animals; Artiodactyla; Ecosystem; Eutrophication; Fishes; Oxygen; Rivers,2018-05-29,2018,115,22,201800407,All OA; Gold,Article,"Stears, Keenan; McCauley, Douglas J.; Finlay, Jacques C.; Mpemba, James; Warrington, Ian T.; Mutayoba, Benezeth M.; Power, Mary E.; Dawson, Todd E.; Brashares, Justin S.",,"Stears, Keenan (University of California, Santa Barbara); McCauley, Douglas J. (University of California, Santa Barbara); Finlay, Jacques C. (University of Minnesota System); Mpemba, James (); Warrington, Ian T. (University of Calgary); Mutayoba, Benezeth M. (Sokoine University of Agriculture); Power, Mary E. (University of California, Berkeley); Dawson, Todd E. (University of California, Berkeley); Brashares, Justin S. (University of California, Berkeley)",6,6,,,https://www.pnas.org/content/pnas/115/22/E5028.full.pdf,https://app.dimensions.ai/details/publication/pub.1103975913,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
12,500,pub.1101763987,10.1098/rstb.2017.0017,29581401,PMC5882986,"Migration in the Anthropocene: how collective navigation, environmental system and taxonomy shape the vulnerability of migratory species",Philosophical Transactions of the Royal Society B Biological Sciences,,Animal Migration; Animals; Birds; Environment; Fishes; Mammals; Phylogeny; Spatial Navigation,2018-05-19,2018,373,1746,20170017,All OA; Gold,Article,"Hardesty-Moore, Molly; Deinet, Stefanie; Freeman, Robin; Titcomb, Georgia C.; Dillon, Erin M.; Stears, Keenan; Klope, Maggie; Bui, An; Orr, Devyn; Young, Hillary S.; Kuile, Ana Miller-ter; Hughey, Lacey F.; McCauley, Douglas J.",,"Hardesty-Moore, Molly (University of California, Santa Barbara); Deinet, Stefanie (University of California, Santa Barbara); Freeman, Robin (University of California, Santa Barbara); Titcomb, Georgia C. (University of California, Santa Barbara); Dillon, Erin M. (University of California, Santa Barbara); Stears, Keenan (University of California, Santa Barbara); Klope, Maggie (University of California, Santa Barbara); Bui, An (University of California, Santa Barbara); Orr, Devyn (University of California, Santa Barbara); Young, Hillary S. (University of California, Santa Barbara); Kuile, Ana Miller-ter (University of California, Santa Barbara); Hughey, Lacey F. (University of California, Santa Barbara); McCauley, Douglas J. (University of California, Santa Barbara; Zoological Society of London)",10,10,,,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2017.0017,https://app.dimensions.ai/details/publication/pub.1101763987,0602 Ecology; 06 Biological Sciences; 0603 Evolutionary Biology,0602 Ecology,06 Biological Sciences,0603 Evolutionary Biology,,
13,500,pub.1100953462,10.1093/biosci/biy021,29731514,PMC5925769,Addressing Criticisms of Large-Scale Marine Protected Areas.,BioScience,,,2018-05-01,2018,68,5,359-370,All OA; Gold,Article,"O'Leary, Bethan C; Ban, Natalie C; Fernandez, Miriam; Friedlander, Alan M; García-Borboroglu, Pablo; Golbuu, Yimnang; Guidetti, Paolo; Harris, Jean M; Hawkins, Julie P; Langlois, Tim; McCauley, Douglas J; Pikitch, Ellen K; Richmond, Robert H; Roberts, Callum M",,"O'Leary, Bethan C (); Ban, Natalie C (); Fernandez, Miriam (Pontifical Catholic University of Chile); Friedlander, Alan M (University of Hawaii at Manoa); García-Borboroglu, Pablo (); Golbuu, Yimnang (); Guidetti, Paolo (); Harris, Jean M (); Hawkins, Julie P (); Langlois, Tim (); McCauley, Douglas J (University of California, Santa Barbara); Pikitch, Ellen K (Stony Brook University); Richmond, Robert H (University of Hawaii at Manoa); Roberts, Callum M ()",18,18,,,https://academic.oup.com/bioscience/article-pdf/68/5/359/25082923/biy021.pdf,https://app.dimensions.ai/details/publication/pub.1100953462,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
14,100,pub.1092193839,10.1002/aqc.2837,,,The worth of giants: The consumptive and non‐consumptive use value of the giant sea bass (Stereolepis gigas),Aquatic Conservation Marine and Freshwater Ecosystems,,,2018-04,2018,28,2,296-304,Closed,Article,"Guerra, Ana Sofía; Madigan, Daniel J.; Love, Milton S.; McCauley, Douglas J.",,"Guerra, Ana Sofía (); Madigan, Daniel J. (Harvard University); Love, Milton S. (University of California, Santa Barbara); McCauley, Douglas J. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1092193839,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
15,500,pub.1100269827,10.1111/ele.12900,29316114,,On the prevalence and dynamics of inverted trophic pyramids and otherwise top‐heavy communities,Ecology Letters,,Biomass; Brazil; Ecology; Food Chain; Humans; Prevalence,2018-03,2018,21,3,439-454,All OA; Gold,Article,"McCauley, Douglas J.; Gellner, Gabriel; Martinez, Neo D.; Williams, Richard J.; Sandin, Stuart A.; Micheli, Fiorenza; Mumby, Peter J.; McCann, Kevin S.",,"McCauley, Douglas J. (University of California, Santa Barbara); Gellner, Gabriel (Colorado State University); Martinez, Neo D. (University of Arizona); Williams, Richard J. (Vibrant Data (United States)); Sandin, Stuart A. (Scripps Institution of Oceanography); Micheli, Fiorenza (Stanford University); Mumby, Peter J. (University of Queensland); McCann, Kevin S. (University of Guelph)",24,24,,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/ele.12900,https://app.dimensions.ai/details/publication/pub.1100269827,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
16,200,pub.1092613977,10.1073/pnas.1717570114,29122936,PMC5715796,Reply to Kalinkat et al.: Smallest terrestrial vertebrates are highly imperiled,Proceedings of the National Academy of Sciences,,Animals; Environmental Monitoring; Vertebrates,2017-11-28,2017,114,48,e10265-e10265,"All OA; Green, Published",Article,"Ripple, William J.; Wolf, Christopher; Newsome, Thomas M.; Hoffmann, Michael; Wirsing, Aaron J.; McCauley, Douglas J.",,"Ripple, William J. (Oregon State University); Wolf, Christopher (Oregon State University); Newsome, Thomas M. (Oregon State University; Deakin University; University of Sydney; University of Washington); Hoffmann, Michael (International Union for Conservation of Nature; Zoological Society of London); Wirsing, Aaron J. (University of Washington); McCauley, Douglas J. (University of California, Santa Barbara)",0,0,0,,http://europepmc.org/articles/pmc5715796?pdf=render,https://app.dimensions.ai/details/publication/pub.1092613977,,,,,,
17,200,pub.1092303082,10.1126/science.aao1919,29051362,,Digital nature: Are field trips a thing of the past?,Science,,,2017-10-20,2017,358,6361,298-300,"All OA; Green, Accepted & Submitted",Article,"McCauley, Douglas J.",,"McCauley, Douglas J. (University of California, Santa Barbara)",6,6,0,,https://escholarship.org/content/qt0827s57q/qt0827s57q.pdf?t=ozrrqp,https://app.dimensions.ai/details/publication/pub.1092303082,,,,,,
18,500,pub.1091834152,10.1073/pnas.1702078114,28923917,PMC5635868,Extinction risk is most acute for the world’s largest and smallest vertebrates,Proceedings of the National Academy of Sciences,,"Animals; Biological Evolution; Body Size; Databases, Factual; Extinction, Biological; Models, Biological; Vertebrates",2017-10-03,2017,114,40,10678-10683,All OA; Gold,Article,"Ripple, William J.; Wolf, Christopher; Newsome, Thomas M.; Hoffmann, Michael; Wirsing, Aaron J.; McCauley, Douglas J.",,"Ripple, William J. (Oregon State University); Wolf, Christopher (Oregon State University); Newsome, Thomas M. (Oregon State University; Deakin University; University of Sydney; University of Washington); Hoffmann, Michael (International Union for Conservation of Nature; Zoological Society of London); Wirsing, Aaron J. (University of Washington); McCauley, Douglas J. (University of California, Santa Barbara)",47,45,3.12,19.58,https://www.pnas.org/content/pnas/114/40/10678.full.pdf,https://app.dimensions.ai/details/publication/pub.1091834152,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
19,500,pub.1090956499,10.1371/journal.pone.0181526,28767677,PMC5540553,Limited trophic partitioning among sympatric delphinids off a tropical oceanic atoll,PLoS ONE,,"Animals; Behavior, Animal; Biopsy; Dolphins; Ecosystem; Feeding Behavior; Food Chain; Nutritional Status; Remote Sensing Technology; Skin",2017-08-02,2017,12,8,e0181526,All OA; Gold,Article,"Young, Hillary; Nigro, Katherine; McCauley, Douglas J.; Ballance, Lisa T.; Oleson, Erin M.; Baumann-Pickering, Simone",,"Young, Hillary (University of California, Santa Barbara); Nigro, Katherine (University of California, Santa Barbara); McCauley, Douglas J. (University of California, Santa Barbara); Ballance, Lisa T. (Southwest Fisheries Science Center; Scripps Institution of Oceanography); Oleson, Erin M. (Pacific Islands Fisheries Science Center); Baumann-Pickering, Simone (Scripps Institution of Oceanography)",1,1,0,0.39,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0181526&type=printable,https://app.dimensions.ai/details/publication/pub.1090956499,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
20,500,pub.1085870506,10.1073/pnas.1701262114,28584096,PMC5474809,Marine reserves can mitigate and promote adaptation to climate change,Proceedings of the National Academy of Sciences,,"Adaptation, Physiological; Animals; Aquatic Organisms; Climate Change; Conservation of Natural Resources; Ecosystem",2017-06-13,2017,114,24,6167-6175,All OA; Gold,Article,"Roberts, Callum M.; O’Leary, Bethan C.; McCauley, Douglas J.; Cury, Philippe Maurice; Duarte, Carlos M.; Lubchenco, Jane; Pauly, Daniel; Sáenz-Arroyo, Andrea; Sumaila, Ussif Rashid; Wilson, Rod W.; Worm, Boris; Castilla, Juan Carlos",,"Roberts, Callum M. (University of York); O’Leary, Bethan C. (University of York); McCauley, Douglas J. (University of California, Santa Barbara); Cury, Philippe Maurice (); Duarte, Carlos M. (King Abdullah University of Science and Technology); Lubchenco, Jane (Oregon State University); Pauly, Daniel (University of British Columbia); Sáenz-Arroyo, Andrea (El Colegio de la Frontera Sur); Sumaila, Ussif Rashid (University of British Columbia); Wilson, Rod W. (University of Exeter); Worm, Boris (Dalhousie University); Castilla, Juan Carlos (Pontifical Catholic University of Chile)",85,83,2.61,31.29,https://www.pnas.org/content/pnas/114/24/6167.full.pdf,https://app.dimensions.ai/details/publication/pub.1085870506,0602 Ecology; 0502 Environmental Science and Management; 0699 Other Biological Sciences; 0501 Ecological Applications; 05 Environmental Sciences; 06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,0699 Other Biological Sciences,0501 Ecological Applications,05 Environmental Sciences
21,500,pub.1085054290,10.1098/rstb.2016.0116,28438909,PMC5413868,Interacting effects of land use and climate on rodent-borne pathogens in central Kenya,Philosophical Transactions of the Royal Society B Biological Sciences,,Agriculture; Animals; Climate Change; Conservation of Natural Resources; Disease Vectors; Kenya; Prevalence; Public Health; Rodentia; Zoonoses,2017-06-05,2017,372,1722,20160116,All OA; Gold,Article,"Young, Hillary S.; McCauley, Douglas J.; Dirzo, Rodolfo; Nunn, Charles L.; Campana, Michael G.; Agwanda, Bernard; Otarola-Castillo, Erik R.; Castillo, Eric R.; Pringle, Robert M.; Veblen, Kari E.; Salkeld, Daniel J.; Stewardson, Kristin; Fleischer, Robert; Lambin, Eric F.; Palmer, Todd M.; Helgen, Kristofer M.",,"Young, Hillary S. (University of California, Santa Barbara; Mpala Research Center and Wildlife Foundation); McCauley, Douglas J. (University of California, Santa Barbara; Mpala Research Center and Wildlife Foundation); Dirzo, Rodolfo (Stanford University); Nunn, Charles L. (Duke University); Campana, Michael G. (National Zoological Park); Agwanda, Bernard (National Museums of Kenya); Otarola-Castillo, Erik R. (Purdue University West Lafayette); Castillo, Eric R. (Harvard University); Pringle, Robert M. (Mpala Research Center and Wildlife Foundation; Princeton University); Veblen, Kari E. (Mpala Research Center and Wildlife Foundation; Utah State University); Salkeld, Daniel J. (Colorado State University); Stewardson, Kristin (National Zoological Park); Fleischer, Robert (National Zoological Park); Lambin, Eric F. (Stanford University); Palmer, Todd M. (Mpala Research Center and Wildlife Foundation; University of Florida); Helgen, Kristofer M. (National Museum of Natural History; University of Adelaide)",10,6,1.45,,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2016.0116,https://app.dimensions.ai/details/publication/pub.1085054290,11 Medical and Health Sciences; 06 Biological Sciences,11 Medical and Health Sciences,06 Biological Sciences,,,
22,200,pub.1051475892,10.1111/1365-2435.12728,,,A mammoth undertaking: harnessing insight from functional ecology to shape de‐extinction priority setting,Functional Ecology,,,2017-05,2017,31,5,1003-1011,All OA; Gold,Article,"McCauley, Douglas J.; Hardesty‐Moore, Molly; Halpern, Benjamin S.; Young, Hillary S.",,"McCauley, Douglas J. (); Hardesty‐Moore, Molly (); Halpern, Benjamin S. (University of California, Santa Barbara; Imperial College London); Young, Hillary S. ()",16,8,,,https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2435.12728,https://app.dimensions.ai/details/publication/pub.1051475892,05 Environmental Sciences; 06 Biological Sciences,05 Environmental Sciences,06 Biological Sciences,,,
23,500,pub.1083852593,10.1038/srep43131,28220895,PMC5318939,Resetting predator baselines in coral reef ecosystems,Scientific Reports,,Animals; Coral Reefs; Ecosystem; Population Density; Sharks,2017-03,2017,7,1,43131,All OA; Gold,Article,"Bradley, Darcy; Conklin, Eric; Papastamatiou, Yannis P.; McCauley, Douglas J.; Pollock, Kydd; Pollock, Amanda; Kendall, Bruce E.; Gaines, Steven D.; Caselle, Jennifer E.","Bradley, Darcy","Bradley, Darcy (University of California, Santa Barbara); Conklin, Eric (The Nature Conservancy); Papastamatiou, Yannis P. (Florida International University); McCauley, Douglas J. (University of California, Santa Barbara); Pollock, Kydd (The Nature Conservancy); Pollock, Amanda (United States Fish and Wildlife Service); Kendall, Bruce E. (University of California, Santa Barbara); Gaines, Steven D. (University of California, Santa Barbara); Caselle, Jennifer E. (University of California, Santa Barbara)",23,19,2.01,8.96,https://www.nature.com/articles/srep43131.pdf,https://app.dimensions.ai/details/publication/pub.1083852593,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
