,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Susannah M Porter. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
22,100,pub.1038372445,10.1130/b30346.1,,,The earliest Cambrian record of animals and ocean geochemical change,Geological Society of America Bulletin,,,2010-11-01,2010,122,11-12,1731-1774,Closed,Article,"Maloof, Adam C.; Porter, Susannah M.; Moore, John L.; Dudás, Frank Ö.; Bowring, Samuel A.; Higgins, John A.; Fike, David A.; Eddy, Michael P.",,"Maloof, Adam C. (Princeton University); Porter, Susannah M. (University of California, Santa Barbara); Moore, John L. (University of California, Santa Barbara); Dudás, Frank Ö. (Massachusetts Institute of Technology); Bowring, Samuel A. (Massachusetts Institute of Technology); Higgins, John A. (Princeton University); Fike, David A. (Washington University in St. Louis); Eddy, Michael P. (Princeton University)",189,54,,19.69,,https://app.dimensions.ai/details/publication/pub.1038372445,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
23,100,pub.1011079924,10.1666/09-091.1,,,"Cambrothyra ampulliformis, an unusual coeloscleritophoran from the Lower Cambrian of Shaanxi Province, China",Journal of Paleontology,,,2010-11,2010,84,6,1040-1060,Closed,Article,"Moore, John L.; Porter, Susannah M.; Steiner, Michael; Li, Guoxiang",,"Moore, John L. (University of California, Santa Barbara); Porter, Susannah M. (University of California, Santa Barbara); Steiner, Michael (Free University of Berlin); Li, Guoxiang (Nanjing Institute of Geology and Paleontology)",8,2,,0.83,,https://app.dimensions.ai/details/publication/pub.1011079924,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
24,100,pub.1062734183,10.1130/g30726.1,,,"Constraints on early Cambrian carbon cycling from the duration of the Nemakit-Daldynian–Tommotian boundary δ13C shift, Morocco",Geology,,,2010-07,2010,38,7,623-626,Closed,Article,"Maloof, Adam C.; Ramezani, Jahandar; Bowring, Samuel A.; Fike, David A.; Porter, Susannah M.; Mazouad, Mohamed",,"Maloof, Adam C. (Princeton University); Ramezani, Jahandar (Massachusetts Institute of Technology); Bowring, Samuel A. (Massachusetts Institute of Technology); Fike, David A. (Washington University in St. Louis); Porter, Susannah M. (University of California, Santa Barbara); Mazouad, Mohamed (University of Hassan II Casablanca)",66,17,,6.87,,https://app.dimensions.ai/details/publication/pub.1062734183,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
25,100,pub.1005415450,10.1016/j.epsl.2009.11.059,,,"An emerging picture of Neoproterozoic ocean chemistry: Insights from the Chuar Group, Grand Canyon, USA",Earth and Planetary Science Letters,,,2010-02-15,2010,290,1-2,64-73,"All OA; Green, Accepted & Submitted",Article,"Johnston, David T.; Poulton, Simon W.; Dehler, Carol; Porter, Susannah; Husson, Jon; Canfield, Donald E.; Knoll, Andrew H.","Johnston, David T.","Johnston, David T. (Harvard University); Poulton, Simon W. (Newcastle University); Dehler, Carol (Utah State University); Porter, Susannah (University of California, Santa Barbara); Husson, Jon (Harvard University); Canfield, Donald E. (University of Southern Denmark); Knoll, Andrew H. (Harvard University)",137,27,,13.1,https://dash.harvard.edu/bitstream/1/10059265/1/Johnston%20et%20al%20EPSL%202010%20final%20ms.pdf,https://app.dimensions.ai/details/publication/pub.1005415450,04 Earth Sciences; 0402 Geochemistry,04 Earth Sciences,0402 Geochemistry,,,
26,100,pub.1050987612,10.1111/j.1475-4983.2009.00922.x,,,"New data on molluscs and their shell microstructures from the Middle Cambrian Gowers Formation, Australia",Palaeontology,,,2010-01,2010,53,1,97-135,All OA; Gold,Article,"VENDRASCO, MICHAEL J.; PORTER, SUSANNAH M.; KOUCHINSKY, ARTEM; LI, GUOXIANG; FERNANDEZ, CHRISTINE Z.",,"VENDRASCO, MICHAEL J. (University of California, Santa Barbara); PORTER, SUSANNAH M. (University of California, Santa Barbara); KOUCHINSKY, ARTEM (); LI, GUOXIANG (Nanjing Institute of Geology and Paleontology); FERNANDEZ, CHRISTINE Z. ()",33,11,,3.44,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1475-4983.2009.00922.x,https://app.dimensions.ai/details/publication/pub.1050987612,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
27,100,pub.1034504277,10.1111/j.1475-4983.2009.00913.x,,,New data on the enigmatic Ocruranus–Eohalobia group of Early Cambrian small skeletal fossils,Palaeontology,,,2009-11,2009,52,6,1373-1396,All OA; Gold,Article,"VENDRASCO, MICHAEL J.; LI, GUOXIANG; PORTER, SUSANNAH M.; FERNANDEZ, CHRISTINE Z.",,"VENDRASCO, MICHAEL J. (University of California, Santa Barbara); LI, GUOXIANG (Nanjing Institute of Geology and Paleontology); PORTER, SUSANNAH M. (University of California, Santa Barbara); FERNANDEZ, CHRISTINE Z. ()",19,3,,3.48,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1475-4983.2009.00913.x,https://app.dimensions.ai/details/publication/pub.1034504277,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
28,100,pub.1005144620,10.1038/ngeo525,,,Biotic turnover driven by eutrophication before the Sturtian low-latitude glaciation,Nature Geoscience,,,2009-06,2009,2,6,415-418,Closed,Article,"Nagy, Robin M.; Porter, Susannah M.; Dehler, Carol M.; Shen, Yanan","Porter, Susannah M.","Nagy, Robin M. (University of California, Santa Barbara); Porter, Susannah M. (University of California, Santa Barbara); Dehler, Carol M. (Utah State University); Shen, Yanan (University of Quebec at Montreal)",47,9,,8.61,,https://app.dimensions.ai/details/publication/pub.1005144620,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
29,100,pub.1046399580,10.1016/s0166-2635(09)01625-9,,,Chapter 10 Neoproterozoic-Cambrian Biogeochemical Evolution,Developments in Precambrian Geology,"Neoproterozoic-Cambrian Tectonics, Global Change And Evolution: A Focus On South Western Gondwana",,2009,2009,16,,351-365,Closed,Chapter,"Halverson, Galen P.; Hurtgen, Matthew T.; Porter, Susannah M.; Collins, Alan S.",,"Halverson, Galen P. (University of Adelaide); Hurtgen, Matthew T. (Northwestern University); Porter, Susannah M. (University of California, Santa Barbara); Collins, Alan S. (University of Adelaide)",31,5,,4.15,,https://app.dimensions.ai/details/publication/pub.1046399580,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
30,100,pub.1035444419,10.1111/j.1475-4983.2008.00792.x,,,SKELETAL MICROSTRUCTURE INDICATES CHANCELLORIIDS AND HALKIERIIDS ARE CLOSELY RELATED,Palaeontology,,,2008-07,2008,51,4,865-879,All OA; Gold,Article,"PORTER, SUSANNAH M.",,"PORTER, SUSANNAH M. (University of California, Santa Barbara)",30,10,,2.96,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1475-4983.2008.00792.x,https://app.dimensions.ai/details/publication/pub.1035444419,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
31,400,pub.1062455109,10.1126/science.1137284,17540895,,Seawater Chemistry and Early Carbonate Biomineralization,Science,,"Animals; Biological Evolution; Calcification, Physiologic; Calcium; Calcium Carbonate; Chemical Precipitation; Crystallization; Fossils; Invertebrates; Magnesium; Seawater",2007-06-01,2007,316,5829,1302-1302,Closed,Article,"Porter, Susannah M.",,"Porter, Susannah M. (University of California, Santa Barbara)",121,16,0.94,12.57,,https://app.dimensions.ai/details/publication/pub.1062455109,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
32,200,pub.1022449615,10.1007/1-4020-5202-2_1,,,The Proterozoic Fossil Record of Heterotrophic Eukaryotes,Topics in Geobiology,Neoproterozoic Geobiology and Paleobiology,,2006,2006,27,,1-21,Closed,Chapter,"Porter, Susannah M.",,"Porter, Susannah M. (University of California, Santa Barbara)",35,4,,,,https://app.dimensions.ai/details/publication/pub.1022449615,,,,,,
33,200,pub.1088803661,10.1130/2005.fld006(01),,,"Neoproterozoic Uinta Mountain Group of northeastern Utah: Pre-Sturtian geographic, tectonic, and biologic evolution",,GSA Field Guide 6: Interior Western United States,,2005,2005,6,,1-25,Closed,Chapter,"Dehler, Carol M.; Sprinkel, Douglas A.; Porter, Susannah M.",,"Dehler, Carol M. (); Sprinkel, Douglas A. (); Porter, Susannah M. ()",3,0,,,,https://app.dimensions.ai/details/publication/pub.1088803661,,,,,,
34,100,pub.1046721604,10.1666/0022-3360(2004)078<0574:himcpl>2.0.co;2,,,Halkieriids in Middle Cambrian phosphatic limestones from Australia,Journal of Paleontology,,,2004-05,2004,78,3,574-590,"All OA; Green, Accepted & Submitted",Article,"Porter, Susannah M.",,"Porter, Susannah M. (Harvard University)",36,5,,3.22,http://www.geol.ucsb.edu/faculty/porter/Papers/Porter_2004_halkieriids.pdf,https://app.dimensions.ai/details/publication/pub.1046721604,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
35,100,pub.1012232083,10.1016/j.precamres.2003.10.015,,,"Chemostratigraphy of Neoproterozoic cap carbonates from the Volta Basin, West Africa",Precambrian Research,,,2004-04,2004,130,1-4,99-112,Closed,Article,"Porter, Susannah M.; Knoll, Andrew H.; Affaton, Pascal","Porter, Susannah M.","Porter, Susannah M. (University of California, Santa Barbara); Knoll, Andrew H. (Harvard University); Affaton, Pascal (Centre for Research and Teaching in Environmental Geoscience)",48,4,,4.17,,https://app.dimensions.ai/details/publication/pub.1012232083,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
36,100,pub.1004189313,10.1669/0883-1351(2004)019<0178:ctpwtf>2.0.co;2,,,Closing the Phosphatization Window: Testing for the Influence of Taphonomic Megabias on the Pattern of Small Shelly Fossil Decline,Palaios,,,2004-04,2004,29,3,,Closed,Article,"PORTER, SUSANNAH M.",,"PORTER, SUSANNAH M. ()",0,0,,0,,https://app.dimensions.ai/details/publication/pub.1004189313,04 Earth Sciences; 0403 Geology,04 Earth Sciences,0403 Geology,,,
37,100,pub.1034736751,10.1666/0022-3360(2003)077<0409:vmftnc>2.0.co;2,,,"VASE-SHAPED MICROFOSSILS FROM THE NEOPROTEROZOIC CHUAR GROUP, GRAND CANYON: A CLASSIFICATION GUIDED BY MODERN TESTATE AMOEBAE",Journal of Paleontology,,,2003-05,2003,77,3,409-429,"All OA; Green, Published",Article,"PORTER, SUSANNAH M.; MEISTERFELD, RALF; KNOLL, ANDREW H.",,"PORTER, SUSANNAH M. (Harvard University; University of California, Santa Barbara); MEISTERFELD, RALF (); KNOLL, ANDREW H. (Harvard University)",92,5,,6.76,http://www.geol.ucsb.edu/faculty/porter/Papers/Porteretal2003_VSMs.pdf,https://app.dimensions.ai/details/publication/pub.1034736751,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
38,100,pub.1026472457,10.1017/s0022336000044140,,,"Vase-shaped microfossils from the Neoproterozoic Chuar Group, Grand Canyon: A classification guided by modern testate amoebae",Journal of Paleontology,,,2003-05,2003,77,3,409-429,"All OA; Green, Published",Article,"Porter, Susannah M.; Meisterfeld, Ralf; Knoll, Andrew H.",,"Porter, Susannah M. (Harvard University); Meisterfeld, Ralf (); Knoll, Andrew H. (Harvard University)",125,22,,9.18,http://www.geol.ucsb.edu/faculty/porter/Papers/Porteretal2003_VSMs.pdf,https://app.dimensions.ai/details/publication/pub.1026472457,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
39,100,pub.1039708295,10.1666/0094-8373(2000)026<0360:taitne>2.0.co;2,,,"Testate amoebae in the Neoproterozoic Era: evidence from vase-shaped microfossils in the Chuar Group, Grand Canyon",Paleobiology,,,2000-09,2000,26,3,360-385,"All OA; Green, Published",Article,"Porter, Susannah M.; Knoll, Andrew H.",,"Porter, Susannah M. (Harvard University); Knoll, Andrew H. (Harvard University)",214,25,,15.97,http://www.geol.ucsb.edu/faculty/porter/Papers/PorterKnoll2000.pdf,https://app.dimensions.ai/details/publication/pub.1039708295,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
40,200,pub.1062731887,10.1130/0091-7613(2000)028<0619:cgotgc>2.3.co;2,,,"Chuar Group of the Grand Canyon: Record of breakup of Rodinia, associated change in the global carbon cycle, and ecosystem expansion by 740 Ma",Geology,,,2000-07,2000,28,7,619-622,"All OA; Green, Accepted & Submitted",Article,"Karlstrom, Karl E.; Bowring, Samuel A.; Dehler, Carol M.; Knoll, Andrew H.; Porter, Susannah M.; Marais, David J. Des; Weil, Arlo B.; Sharp, Zachary D.; Geissman, John W.; Elrick, Maya B.; Timmons, J. Michael; Crossey, Laura J.; Davidek, Kathleen L.",,"Karlstrom, Karl E. (); Bowring, Samuel A. (); Dehler, Carol M. (); Knoll, Andrew H. (); Porter, Susannah M. (); Marais, David J. Des (); Weil, Arlo B. (); Sharp, Zachary D. (); Geissman, John W. (); Elrick, Maya B. (); Timmons, J. Michael (); Crossey, Laura J. (); Davidek, Kathleen L. ()",2,0,,,http://www.geol.ucsb.edu/faculty/porter/Papers/Karlstrom_et_al_2000.pdf,https://app.dimensions.ai/details/publication/pub.1062731887,04 Earth Sciences,04 Earth Sciences,,,,
41,400,pub.1028825935,10.1130/0091-7613(2000)28<619:cgotgc>2.0.co;2,11543503,,"Chuar Group of the Grand Canyon: Record of breakup of Rodinia, associated change in the global carbon cycle, and ecosystem expansion by 740 Ma",Geology,,"Animals; Arizona; Biological Evolution; Carbon; Carbon Isotopes; Cyanobacteria; Earth (Planet); Ecosystem; Eukaryota; Evolution, Planetary; Exobiology; Fossils; Geologic Sediments; Magnetics; Oceans and Seas; Water Microbiology",2000,2000,28,7,619-622,"All OA; Green, Accepted & Submitted",Article,"Karlstrom, Karl E.; Bowring, Samuel A.; Dehler, Carol M.; Knoll, Andrew H.; Porter, Susannah M.; Marais, David J. Des; Weil, Arlo B.; Sharp, Zachary D.; Geissman, John W.; Elrick, Maya B.; Timmons, J. Michael; Crossey, Laura J.; Davidek, Kathleen L.",,"Karlstrom, Karl E. (University of New Mexico); Bowring, Samuel A. (Massachusetts Institute of Technology); Dehler, Carol M. (University of New Mexico); Knoll, Andrew H. (Harvard University); Porter, Susannah M. (Harvard University); Marais, David J. Des (Ames Research Center); Weil, Arlo B. (University of Michigan); Sharp, Zachary D. (University of New Mexico); Geissman, John W. (University of New Mexico); Elrick, Maya B. (University of New Mexico); Timmons, J. Michael (University of New Mexico); Crossey, Laura J. (University of New Mexico); Davidek, Kathleen L. (Massachusetts Institute of Technology)",85,6,0.15,6.9,http://www.geol.ucsb.edu/faculty/porter/Papers/Karlstrom_et_al_2000.pdf,https://app.dimensions.ai/details/publication/pub.1028825935,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,04 Earth Sciences,0403 Geology,0402 Geochemistry,,
