,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Andrew J Macdonald. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,500,pub.1121795889,10.1073/pnas.1905315116,31611369,,"Amazon deforestation drives malaria transmission, and malaria burden reduces forest clearing",Proceedings of the National Academy of Sciences,,,2019-10-14,2019,,,201905315,Closed,Article,"MacDonald, Andrew J.; Mordecai, Erin A.",,"MacDonald, Andrew J. (Stanford University; University of California, Santa Barbara); Mordecai, Erin A. (Stanford University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1121795889,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
2,100,pub.1120394190,10.1111/1365-2664.13490,,,Tracking seasonal activity of the western blacklegged tick across California,Journal of Applied Ecology,,,2019-09-05,2019,,,,Closed,Article,"MacDonald, Andrew J.; O’Neill, Craig; Yoshimizu, Melissa H.; Padgett, Kerry A.; Larsen, Ashley E.",,"MacDonald, Andrew J. (Stanford University; University of California, Santa Barbara); O’Neill, Craig (University of California, Santa Barbara); Yoshimizu, Melissa H. (California Department of Public Health); Padgett, Kerry A. (California Department of Public Health); Larsen, Ashley E. (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120394190,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
3,100,pub.1120796557,10.1016/s2542-5196(19)30156-1,,,"Amazon deforestation drives malaria transmission, and malaria burden reduces forest clearing: a retrospective study",The Lancet Planetary Health,,,2019-09,2019,3,,s13,Closed,Article,"MacDonald, Andrew J; Mordecai, Erin A","MacDonald, Andrew J","MacDonald, Andrew J (University of California, Santa Barbara); Mordecai, Erin A (Stanford University)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1120796557,1108 Medical Microbiology; 11 Medical and Health Sciences,1108 Medical Microbiology,11 Medical and Health Sciences,,,
4,100,pub.1107722219,10.1111/1365-2664.13289,,,Missing the people for the trees: Identifying coupled natural–human system feedbacks driving the ecology of Lyme disease,Journal of Applied Ecology,,,2019-02,2019,56,2,354-364,Closed,Article,"MacDonald, Andrew J.; Larsen, Ashley E.; Plantinga, Andrew J.",,"MacDonald, Andrew J. (Stanford University; University of California, Santa Barbara); Larsen, Ashley E. (University of California, Santa Barbara); Plantinga, Andrew J. (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1107722219,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
5,100,pub.1104468771,10.1038/s41558-018-0208-8,,,The dangers of disaster-driven responses to climate change,Nature Climate Change,,,2018-08,2018,8,8,651-653,Closed,Article,"Anderson, Sarah E.; Bart, Ryan R.; Kennedy, Maureen C.; MacDonald, Andrew J.; Moritz, Max A.; Plantinga, Andrew J.; Tague, Christina L.; Wibbenmeyer, Matthew","Anderson, Sarah E.","Anderson, Sarah E. (University of California, Santa Barbara); Bart, Ryan R. (University of California, Santa Barbara; University of California, Merced); Kennedy, Maureen C. (University of Washington Tacoma); MacDonald, Andrew J. (University of California, Santa Barbara; Stanford University); Moritz, Max A. (University of California, Santa Barbara); Plantinga, Andrew J. (University of California, Santa Barbara); Tague, Christina L. (University of California, Santa Barbara); Wibbenmeyer, Matthew (University of California, Berkeley)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1104468771,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management; 0401 Atmospheric Sciences,0406 Physical Geography and Environmental Geoscience,04 Earth Sciences,05 Environmental Sciences,0502 Environmental Science and Management,0401 Atmospheric Sciences
6,500,pub.1105933059,10.1371/journal.pone.0201665,30063752,PMC6067749,"Abiotic and habitat drivers of tick vector abundance, diversity, phenology and human encounter risk in southern California",PLoS ONE,,"Animals; Arachnid Vectors; Borrelia burgdorferi; California; Dermacentor; Disease Vectors; Ecosystem; Human Activities; Humans; Lyme Disease; Mosquito Vectors; Population Density; Risk Factors; Rocky Mountain Spotted Fever; Seasons; Stress, Physiological; Ticks",2018-07-31,2018,13,7,e0201665,All OA; Gold,Article,"MacDonald, Andrew J.",,"MacDonald, Andrew J. (Stanford University; University of California, Santa Barbara)",2,2,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0201665&type=printable,https://app.dimensions.ai/details/publication/pub.1105933059,05 Environmental Sciences; 06 Biological Sciences; 0602 Ecology; 0502 Environmental Science and Management,05 Environmental Sciences,06 Biological Sciences,0602 Ecology,0502 Environmental Science and Management,
7,100,pub.1104145805,10.1002/ecs2.2227,,,"Risk of vector tick exposure initially increases, then declines through time in response to wildfire in California",Ecosphere,,,2018-05,2018,9,5,e02227,All OA; Gold,Article,"MacDonald, Andrew J.; Hyon, David W.; McDaniels, Akira; O'Connor, Kerry E.; Swei, Andrea; Briggs, Cheryl J.",,"MacDonald, Andrew J. (Stanford University; University of California, Santa Barbara); Hyon, David W. (University of California, Santa Barbara); McDaniels, Akira (University of California, Santa Barbara); O'Connor, Kerry E. (San Francisco State University); Swei, Andrea (San Francisco State University); Briggs, Cheryl J. (University of California, Santa Barbara)",3,3,,,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.2227,https://app.dimensions.ai/details/publication/pub.1104145805,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
8,500,pub.1014455463,10.1186/s13071-016-1938-y,28057067,PMC5217405,Lyme disease risk in southern California: abiotic and environmental drivers of Ixodes pacificus (Acari: Ixodidae) density and infection prevalence with Borrelia burgdorferi,Filaria Journal,,"Animals; Borrelia burgdorferi; California; Disease Transmission, Infectious; Ecosystem; Humans; Ixodes; Lyme Disease; Population Density; Prevalence; Risk Assessment",2017-12,2017,10,1,7,All OA; Gold,Article,"MacDonald, Andrew J.; Hyon, David W.; Brewington, John B.; O’Connor, Kerry E.; Swei, Andrea; Briggs, Cheryl J.","MacDonald, Andrew J.","MacDonald, Andrew J. (University of California, Santa Barbara; Stanford University); Hyon, David W. (University of California, Santa Barbara); Brewington, John B. (University of California, Santa Barbara); O’Connor, Kerry E. (San Francisco State University); Swei, Andrea (San Francisco State University); Briggs, Cheryl J. (University of California, Santa Barbara)",9,8,2.05,5,https://parasitesandvectors.biomedcentral.com/track/pdf/10.1186/s13071-016-1938-y,https://app.dimensions.ai/details/publication/pub.1014455463,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
9,400,pub.1011432932,10.1016/j.ttbdis.2015.10.016,26564403,,Truncated seasonal activity patterns of the western blacklegged tick (Ixodes pacificus) in central and southern California,Ticks and Tick-borne Diseases,,Animals; California; Feeding Behavior; Ixodes; Seasons; Time Factors,2016-02,2016,7,1,234-242,"All OA; Green, Published",Article,"MacDonald, Andrew J.; Briggs, Cheryl J.","MacDonald, Andrew J.","MacDonald, Andrew J. (University of California, Santa Barbara); Briggs, Cheryl J. (University of California, Santa Barbara)",10,5,1.58,3.88,https://escholarship.org/content/qt8r4379d8/qt8r4379d8.pdf?t=ol0j8w,https://app.dimensions.ai/details/publication/pub.1011432932,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
10,100,pub.1030776312,10.1016/j.agsy.2015.10.008,,,Taken as a given: Evaluating the accuracy of remotely sensed crop data in the USA,Agricultural Systems,,,2015-12,2015,141,,121-125,Closed,Article,"Larsen, Ashley E.; Hendrickson, Brandon T.; Dedeic, Nicholas; MacDonald, Andrew J.","Larsen, Ashley E.","Larsen, Ashley E. (University of California, Santa Barbara); Hendrickson, Brandon T. (University of California, Santa Barbara); Dedeic, Nicholas (University of California, Santa Barbara); MacDonald, Andrew J. (University of California, Santa Barbara)",5,3,,1.25,,https://app.dimensions.ai/details/publication/pub.1030776312,0703 Crop and Pasture Production; 07 Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,07 Agricultural and Veterinary Sciences,,,
11,400,pub.1007841067,10.4269/ajtmh.14-0181,25048372,PMC4183398,Lyme Disease Risk Influences Human Settlement in the Wildland–Urban Interface: Evidence from a Longitudinal Analysis of Counties in the Northeastern United States,American Journal of Tropical Medicine and Hygiene,,"Animals; Borrelia burgdorferi; Environment; Forests; Humans; Incidence; Longitudinal Studies; Lyme Disease; Models, Statistical; New England; Population Dynamics; Risk; Urban Population",2014-10-01,2014,91,4,747-755,All OA; Gold,Article,"Larsen, Ashley E.; MacDonald, Andrew J.; Plantinga, Andrew J.",,"Larsen, Ashley E. (University of California, Santa Barbara); MacDonald, Andrew J. (University of California, Santa Barbara); Plantinga, Andrew J. (University of California, Santa Barbara)",10,9,0.28,2.51,http://www.ajtmh.org/deliver/fulltext/14761645/91/4/747.pdf?itemId=/content/journals/10.4269/ajtmh.14-0181&mimeType=pdf&containerItemId=content/journals/14761645,https://app.dimensions.ai/details/publication/pub.1007841067,1117 Public Health and Health Services; 11 Medical and Health Sciences,1117 Public Health and Health Services,11 Medical and Health Sciences,,,
