,"""About the data: Exported on Nov 01, 2019. Criteria: Researcher is Ryoko Oono. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.""
",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
0,Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,FOR 1,FOR 2,FOR 3,FOR 4,FOR 5
1,200,pub.1106344227,10.1094/pdis-06-18-1026-pdn,,,First Report of Neofusicoccum australe Causing Canker Disease and Branch Dieback on Arctostaphylos glauca in California,Plant Disease,,,2019-01,2019,103,1,158-158,All OA; Gold,Article,"Schultheis, L. D.; Oono, R.; D’Antonio, C. M.",,"Schultheis, L. D. (University of California, Santa Barbara); Oono, R. (University of California, Santa Barbara); D’Antonio, C. M. (University of California, Santa Barbara)",0,0,,,https://doi.org/10.1094/pdis-06-18-1026-pdn,https://app.dimensions.ai/details/publication/pub.1106344227,0703 Crop and Pasture Production; 0605 Microbiology; 0607 Plant Biology; 06 Biological Sciences; 07 Agricultural and Veterinary Sciences,0703 Crop and Pasture Production,0605 Microbiology,0607 Plant Biology,06 Biological Sciences,07 Agricultural and Veterinary Sciences
2,500,pub.1107108502,10.1080/00275514.2018.1499991,30230969,,"A comparative analysis of Lophodermium fissuratum, sp. nov., found in haploxylon pine needles in the Pacific Northwest, and other Lophodermium endophytes",Mycologia,,"Ascomycota; Cluster Analysis; DNA, Fungal; DNA, Ribosomal; DNA, Ribosomal Spacer; Endophytes; Microscopy; Northwestern United States; Phylogeny; Pinus; Plant Leaves; RNA, Ribosomal, 28S; RNA, Ribosomal, 5.8S; Sequence Analysis, DNA; Spores, Fungal",2018-09-03,2018,110,5,1-14,Closed,Article,"Salas-Lizana, Rodolfo; Oono, Ryoko",,"Salas-Lizana, Rodolfo (National Autonomous University of Mexico); Oono, Ryoko (University of California, Santa Barbara)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1107108502,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
3,500,pub.1104507512,10.1002/ece3.4147,30038763,PMC6053583,"Double‐digest RADseq loci using standard Illumina indexes improve deep and shallow phylogenetic resolution of Lophodermium, a widespread fungal endophyte of pine needles",Ecology and Evolution,,,2018-07,2018,8,13,6638-6651,All OA; Gold,Article,"Salas‐Lizana, Rodolfo; Oono, Ryoko",,"Salas‐Lizana, Rodolfo (University of California, Santa Barbara); Oono, Ryoko (University of California, Santa Barbara)",4,3,,,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.4147,https://app.dimensions.ai/details/publication/pub.1104507512,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
4,500,pub.1104395805,10.1080/00275514.2018.1446650,29863992,,"Two new endophytic Atractiellomycetes, Atractidochium hillariae and Proceropycnis hameedii",Mycologia,,"Animals; Basidiomycota; Cluster Analysis; DNA, Fungal; DNA, Ribosomal; DNA, Ribosomal Spacer; Endophytes; Genes, rRNA; Microbiological Techniques; Microscopy; Phylogeny; Pinus taeda; Plant Leaves; Plant Roots; Populus; RNA, Fungal; RNA, Ribosomal, 18S; RNA, Ribosomal, 28S; RNA, Ribosomal, 5.8S; Sequence Analysis, DNA",2018,2018,110,1,136-146,Closed,Article,"Aime, M. Catherine; Urbina, Hector; Liber, Julian A.; Bonito, Gregory; Oono, Ryoko",,"Aime, M. Catherine (Purdue University West Lafayette); Urbina, Hector (Purdue University West Lafayette); Liber, Julian A. (Michigan State University); Bonito, Gregory (Michigan State University); Oono, Ryoko (University of California, Santa Barbara)",3,3,,,,https://app.dimensions.ai/details/publication/pub.1104395805,0607 Plant Biology; 0604 Genetics; 06 Biological Sciences,0607 Plant Biology,0604 Genetics,06 Biological Sciences,,
5,100,pub.1104991470,10.1007/978-3-319-89833-9_2,,,Dimensions of Host Specificity in Foliar Fungal Endophytes,Forestry Sciences,Endophytes of Forest Trees,,2018,2018,86,,15-42,Closed,Chapter,"Apigo, Austen; Oono, Ryoko","Apigo, Austen","Apigo, Austen (University of California, Santa Barbara); Oono, Ryoko (University of California, Santa Barbara)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1104991470,05 Environmental Sciences; 0502 Environmental Science and Management,05 Environmental Sciences,0502 Environmental Science and Management,,,
6,500,pub.1099713163,10.1371/journal.pone.0189796,29253889,PMC5734782,"A confidence interval analysis of sampling effort, sequencing depth, and taxonomic resolution of fungal community ecology in the era of high-throughput sequencing",PLoS ONE,,"Biodiversity; Biota; Confidence Intervals; DNA, Fungal; Ecology; Fungi; High-Throughput Nucleotide Sequencing; Phylogeny; Pinus; RNA, Ribosomal, 16S",2017-12-18,2017,12,12,e0189796,All OA; Gold,Article,"Oono, Ryoko",,"Oono, Ryoko (University of California, Santa Barbara)",0,0,0,0,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0189796&type=printable,https://app.dimensions.ai/details/publication/pub.1099713163,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
7,500,pub.1085443851,10.1111/1462-2920.13799,28640496,,Distance decay relationships in foliar fungal endophytes are driven by rare taxa,Environmental Microbiology,,"Ascomycota; Basidiomycota; Biodiversity; DNA, Fungal; Endophytes; Environment; Microbiota; Pinus taeda; Plant Leaves; Trees",2017-07,2017,19,7,2794-2805,Closed,Article,"Oono, Ryoko; Rasmussen, Anna; Lefèvre, Emilie",,"Oono, Ryoko (University of California, Santa Barbara); Rasmussen, Anna (University of California, Santa Barbara); Lefèvre, Emilie (Duke University)",9,7,1.15,3.51,,https://app.dimensions.ai/details/publication/pub.1085443851,0602 Ecology; 06 Biological Sciences,0602 Ecology,06 Biological Sciences,,,
8,400,pub.1079344225,10.3852/16-130,27760854,,Sequence-based classification and identification of Fungi.,Mycologia,,Archaea; Bacteria; Fungi; Metagenomics; Phylogeny,2016,2016,108,6,1049-1068,Closed,Article,"Hibbett, David; Abarenkov, Kessy; Kõljalg, Urmas; Öpik, Maarja; Chai, Benli; Cole, James; Wang, Qiong; Crous, Pedro; Robert, Vincent; Helgason, Thorunn; Herr, Joshua R; Kirk, Paul; Lueschow, Shiloh; O'Donnell, Kerry; Nilsson, R Henrik; Oono, Ryoko; Schoch, Conrad; Smyth, Christopher; Walker, Donald M; Porras-Alfaro, Andrea; Taylor, John W; Geiser, David M",,"Hibbett, David (Clark University); Abarenkov, Kessy (); Kõljalg, Urmas (); Öpik, Maarja (University of Tartu); Chai, Benli (); Cole, James (); Wang, Qiong (Michigan State University); Crous, Pedro (); Robert, Vincent (Westerdijk Fungal Biodiversity Institute); Helgason, Thorunn (University of York); Herr, Joshua R (University of Nebraska–Lincoln); Kirk, Paul (Royal Botanic Gardens); Lueschow, Shiloh (); O'Donnell, Kerry (); Nilsson, R Henrik (University of Gothenburg); Oono, Ryoko (University of California, Santa Barbara); Schoch, Conrad (United States National Library of Medicine); Smyth, Christopher (Pennsylvania State University); Walker, Donald M (Tennessee Technological University); Porras-Alfaro, Andrea (Western Illinois University); Taylor, John W (University of California, Berkeley); Geiser, David M (Pennsylvania State University)",62,47,5.95,13.28,,https://app.dimensions.ai/details/publication/pub.1079344225,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
9,400,pub.1044307444,10.1016/j.funbio.2015.07.003,26399186,PMC4589216,A comparison of the community diversity of foliar fungal endophytes between seedling and adult loblolly pines (Pinus taeda),Fungal Biology,,"Biota; Cluster Analysis; DNA, Fungal; DNA, Ribosomal; DNA, Ribosomal Spacer; Endophytes; Fungi; Fungi, Unclassified; Molecular Sequence Data; Phylogeny; Pinus taeda; Plant Leaves; RNA, Ribosomal; Seedlings; Sequence Analysis, DNA",2015-10,2015,119,10,917-928,"All OA; Green, Accepted & Submitted",Article,"Oono, Ryoko; Lefèvre, Emilie; Simha, Anita; Lutzoni, François","Oono, Ryoko","Oono, Ryoko (Duke University); Lefèvre, Emilie (Duke University); Simha, Anita (Duke University); Lutzoni, François (Duke University)",31,21,0.77,5.22,http://europepmc.org/articles/pmc4589216?pdf=render,https://app.dimensions.ai/details/publication/pub.1044307444,0605 Microbiology; 06 Biological Sciences,0605 Microbiology,06 Biological Sciences,,,
10,400,pub.1013758257,10.3732/ajb.1400141,25156984,,Genetic variation in horizontally transmitted fungal endophytes of pine needles reveals population structure in cryptic species,American Journal of Botany,,"Ascomycota; Biodiversity; Biological Evolution; Endophytes; Genetic Variation; Genetics, Population; North Carolina; Phylogeny; Pinus; Plant Leaves; Symbiosis; Virginia",2014-08,2014,101,8,1362-1374,All OA; Gold,Article,"Oono, Ryoko; Lutzoni, François; Arnold, A. Elizabeth; Kaye, Laurel; U’Ren, Jana M.; May, Georgiana; Carbone, Ignazio",,"Oono, Ryoko (University of California, Santa Barbara; Duke University; North Carolina State University); Lutzoni, François (Duke University); Arnold, A. Elizabeth (University of Arizona); Kaye, Laurel (Duke University); U’Ren, Jana M. (University of Arizona); May, Georgiana (University of Minnesota); Carbone, Ignazio (North Carolina State University)",21,8,0.92,3.51,https://onlinelibrary.wiley.com/doi/pdf/10.3732/ajb.1400141,https://app.dimensions.ai/details/publication/pub.1013758257,0604 Genetics; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,06 Biological Sciences,0603 Evolutionary Biology,,
11,400,pub.1005578169,10.1098/rspb.2010.2193,21270038,PMC3136820,Failure to fix nitrogen by non-reproductive symbiotic rhizobia triggers host sanctions that reduce fitness of their reproductive clonemates,Proceedings of The Royal Society B Biological Sciences,,Medicago sativa; Nitrogen Fixation; Peas; Plant Roots; Rhizobium leguminosarum; Sinorhizobium meliloti; Symbiosis,2011-09-07,2011,278,1718,2698-2703,All OA; Gold,Article,"Oono, Ryoko; Anderson, Carolyn G.; Denison, R. Ford",,"Oono, Ryoko (University of Minnesota); Anderson, Carolyn G. (University of Minnesota); Denison, R. Ford (University of Minnesota)",57,14,2.07,9.46,http://rspb.royalsocietypublishing.org/content/278/1718/2698.full.pdf,https://app.dimensions.ai/details/publication/pub.1005578169,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
12,400,pub.1024143533,10.1104/pp.110.163436,20837702,PMC2971627,Comparing Symbiotic Efficiency between Swollen versus Nonswollen Rhizobial Bacteroids,Plant Physiology,,"Bradyrhizobium; Carbon Dioxide; Fabaceae; Hydrogen; Nitrogen Fixation; Rhizobium leguminosarum; Root Nodules, Plant; Symbiosis",2010-11,2010,154,3,1541-1548,All OA; Gold,Article,"Oono, Ryoko; Denison, R. Ford",,"Oono, Ryoko (University of Minnesota); Denison, R. Ford (University of Minnesota)",54,18,1.5,8.31,http://www.plantphysiol.org/content/154/3/1541.full.pdf,https://app.dimensions.ai/details/publication/pub.1024143533,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
13,100,pub.1021913150,10.1111/j.1744-7429.2010.00633.x,,,Nutritional Dimorphism in New Guinea Dioecious Figs,Biotropica,,,2010-11,2010,42,6,656-663,Closed,Article,"Weiblen, George D.; Lomascolo, Silvia B.; Oono, Ryoko; Dumont, Elizabeth R.",,"Weiblen, George D. (University of Minnesota); Lomascolo, Silvia B. (University of Florida); Oono, Ryoko (University of Minnesota); Dumont, Elizabeth R. (University of Massachusetts Amherst)",8,1,,0.64,,https://app.dimensions.ai/details/publication/pub.1021913150,0604 Genetics; 06 Biological Sciences,0604 Genetics,06 Biological Sciences,,,
14,400,pub.1021069774,10.1111/j.1469-8137.2010.03261.x,20456052,,Multiple evolutionary origins of legume traits leading to extreme rhizobial differentiation,New Phytologist,,"Evolution, Molecular; Fabaceae; Flow Cytometry; Phylogeny; Quantitative Trait, Heritable; Rhizobium; Root Nodules, Plant; Species Specificity",2010-07,2010,187,2,508-520,All OA; Gold,Article,"Oono, Ryoko; Schmitt, Imke; Sprent, Janet I.; Denison, R. Ford",,"Oono, Ryoko (University of Minnesota); Schmitt, Imke (University of Minnesota); Sprent, Janet I. (University of Dundee); Denison, R. Ford (University of Minnesota)",63,9,1.72,6.74,http://onlinelibrary.wiley.com/doi/10.1111/j.1469-8137.2010.03261.x/pdf,https://app.dimensions.ai/details/publication/pub.1021069774,0604 Genetics; 06 Biological Sciences; 0603 Evolutionary Biology,0604 Genetics,06 Biological Sciences,0603 Evolutionary Biology,,
15,400,pub.1052538653,10.1111/j.1469-8137.2009.02941.x,19594691,,Controlling the reproductive fate of rhizobia: how universal are legume sanctions?,New Phytologist,,"Fabaceae; Reproduction; Rhizobium; Root Nodules, Plant; Symbiosis",2009-09,2009,183,4,967-979,All OA; Gold,Article,"Oono, Ryoko; Denison, R. Ford; Kiers, E. Toby",,"Oono, Ryoko (University of Minnesota); Denison, R. Ford (University of Minnesota); Kiers, E. Toby (VU University Amsterdam)",58,5,1.65,8.6,https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1469-8137.2009.02941.x,https://app.dimensions.ai/details/publication/pub.1052538653,0607 Plant Biology; 06 Biological Sciences,0607 Plant Biology,06 Biological Sciences,,,
